Dataset {
    Sequence {
        String time;
        Float64 GFF_CHL;
        Float64 urea_uM;
        Float64 ammonium_uM;
        Float64 nitrate_uM;
        Float64 phosphate_uM;
        Float64 silicate_uM;
        Int16 Pn_abundance;
        Float64 Paustralis;
        Float64 Pmultiseries;
        Float64 Alexandrium;
    } CPMT_SCWHARF;
} CPMT2;
---------------------------------------------
CPMT_SCWHARF.time, CPMT_SCWHARF.GFF_CHL, CPMT_SCWHARF.urea_uM, CPMT_SCWHARF.ammonium_uM, CPMT_SCWHARF.nitrate_uM, CPMT_SCWHARF.phosphate_uM, CPMT_SCWHARF.silicate_uM, CPMT_SCWHARF.Pn_abundance, CPMT_SCWHARF.Paustralis, CPMT_SCWHARF.Pmultiseries, CPMT_SCWHARF.Alexandrium
"2006-03-29 11:50:00.0", NaN, 0.708435207823961, NaN, 10.4, 1.64, 1112.2, 2, 0.0, 0.0, 0.0
"2006-04-05 08:32:00.0", NaN, 0.832518337408313, NaN, 12.64, 1.822, 115.7, 0, 0.0, 0.0, 0.0
"2006-04-12 08:25:00.0", NaN, 2.25305623471883, NaN, 16.19, 1.39, 20.87, 2, 800.0, 0.0, 0.0
"2006-04-19 07:45:00.0", NaN, 0.225550122249389, NaN, 19.18, 2.828, 115.1, 2, 0.0, 0.0, 0.0
"2006-04-26 08:20:00.0", NaN, 0.297677261613692, NaN, 11.17, 1.389, 112.0, 2, 0.0, 0.0, 240.0
"2006-05-03 10:00:00.0", NaN, NaN, NaN, 4.862, 0.8392, 84.78, 0, 600.0, 0.0, 0.0
"2006-05-10 10:15:00.0", NaN, NaN, NaN, 1.179, 0.6686, 33.55, 2, 0.0, 0.0, 0.0
"2006-05-17 07:50:00.0", NaN, 0.476772616136919, NaN, 3.824, 0.4329, 16.5, 2, 550.0, 0.0, 0.0
"2006-05-24 08:00:00.0", NaN, 1.01711491442543, NaN, 0.9113, 0.3382, 0.0, 0, NaN, NaN, NaN
"2006-05-31 07:00:00.0", NaN, 3.77017114914425, NaN, 1.315, 0.5992, 30.29, 2, 0.0, 0.0, 630.0
"2006-06-07 07:30:00.0", NaN, 1.85005767012687, NaN, 2.401, 0.6695, 54.61, 3, 0.0, 0.0, 100.0
"2006-06-14 07:30:00.0", NaN, 1.48961937716263, NaN, 9.767, 1.147, 22.92, 3, 0.0, 0.0, 630.0
"2006-06-21 07:40:00.0", NaN, 0.617647058823529, NaN, 0.9963, 0.4144, 8.855, 4, 2800.0, 0.0, 50.0
"2006-06-28 07:40:00.0", NaN, 0.427335640138408, NaN, 2.922, 0.654, 33.14, 4, 1550.0, 0.0, 320.0
"2006-07-05 07:30:00.0", NaN, 1.58131487889273, 6.22, 1.99, 0.675, 13.53, 3, 50.0, 0.0, 830.0
"2006-07-12 14:00:00.0", NaN, 0.318915801614764, 0.52, 5.987, 0.702, 19.4, 3, 3150.0, 0.0, 240.0
"2006-07-19 07:45:00.0", NaN, 0.685121107266436, 2.25, 6.871, 0.9072, 32.98, 2, 0.0, 0.0, 70.0
"2006-07-26 07:30:00.0", NaN, 0.369665513264129, 0.77, 4.126, 1.747, 113.8, 1, 0.0, 0.0, 40.0
"2006-07-26 07:30:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 2, 0.0, 0.0, 130.0
"2006-08-02 07:30:00.0", NaN, 0.521914648212226, 2.1, 5.99, 1.577, 41.35, 3, 0.0, 0.0, 0.0
"2006-08-09 08:20:00.0", NaN, 0.802191464821223, 1.77, 1.227, 0.6367, 28.45, 0, 0.0, 0.0, 0.0
"2006-08-16 08:15:00.0", NaN, 0.795271049596309, 0.98, 1.21, 0.26, 26.81, 0, 0.0, 0.0, 650.0
"2006-08-23 08:30:00.0", 26.075, 0.279123414071511, 1.66, 1.947, 0.8538, 56.32, 3, 0.0, 0.0, 0.0
"2006-08-30 08:15:00.0", 3.696, 1.30565167243368, 4.29, 1.54, 0.4, 19.62, 2, 0.0, 0.0, 0.0
"2006-09-06 08:15:00.0", 2.163, 1.55021834061135, 2.16, 1.2, 0.4, 15.35, 1, 0.0, 0.0, 30.0
"2006-09-13 08:15:00.0", 7.19425, 0.0623830318153463, 0.02, 0.4356, 0.763, 25.31, 1, 0.0, 0.0, 850.0
"2006-09-20 08:30:00.0", 10.27495, 1.98752339363693, 0.66, 0.3671, 0.5392, 14.95, 0, 0.0, 0.0, 10.0
"2006-09-27 09:30:00.0", 13.0525, 0.981908920773549, 0.79, 0.7534, 0.7133, 18.43, 1, 0.0, 0.0, 106.666666666667
"2006-09-28 00:00:00.0", 25.0625, NaN, NaN, 1.372, 0.8465, 21.05, 0, NaN, NaN, NaN
"2006-10-04 08:50:00.0", 10.8395, 1.16593886462882, 2.67, 0.8328, 0.7811, 17.21, 0, 0.0, 0.0, 33.3333333333333
"2006-10-11 07:30:00.0", 39.2245, 0.584529008109794, 0.61, 0.4356, 0.763, 25.31, 0, 0.0, 0.0, 140.0
"2006-10-12 13:00:00.0", NaN, NaN, NaN, 4.24, 0.74, 13.96, 0, NaN, NaN, NaN
"2006-10-12 13:00:00.0", NaN, NaN, NaN, 4.24, 0.76, 14.06, 0, NaN, NaN, NaN
"2006-10-12 13:00:00.0", NaN, NaN, NaN, 4.38, 0.44, 14.38, 0, NaN, NaN, NaN
"2006-10-12 13:00:00.0", NaN, NaN, NaN, 4.23, 0.75, 14.03, 0, NaN, NaN, NaN
