year,month,day,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,2,8,-0.569,-0.369,-0.412,-0.14,-0.111,0.153,0.109,0.768,1.052,0.765,0.754,1.318,0.948,0.605,0.058,-0.014,0.176
1988,2,9,-0.134,0.137,-0.081,-0.009,0.011,0.351,0.072,0.708,1.223,0.9,0.896,1.692,1.043,0.617,-0.054,-0.085,0.118
1988,2,10,-0.109,0.117,0.114,0.012,-0.034,0.64,0.383,1.293,1.94,0.772,0.438,1.14,0.437,0.447,-0.11,-0.101,0.011
1988,2,11,0.087,0.39,0.539,0.382,0.702,1.297,0.613,0.979,0.733,-0.066,-0.249,0.073,-0.491,-0.326,-0.092,0.191,0.026
1988,2,12,-0.04,0.01,-0.117,-0.051,0.157,0.703,0.255,0.45,0.207,-0.081,-0.34,0.104,-0.518,-0.125,0.205,0.144,-0.075
1988,2,13,0.365,0.085,0.194,0.002,0.352,1.087,1.208,1.656,2.035,1.336,0.99,1.55,0.541,0.683,0.158,0.093,0.129
1988,2,14,-0.858,-0.331,-0.094,0.165,0.454,0.972,1.02,1.707,1.36,0.924,0.673,0.874,-0.114,0.48,0.267,0.376,0.184
1988,2,15,0.497,0.238,0.286,0.177,0.678,1.311,1.497,2.071,1.891,1.193,0.85,0.851,0.007,0.209,0.212,0.041,0.027
1988,2,16,0.115,0.231,0.577,0.417,1.545,2.634,2.892,3.417,3.225,2.016,1.42,1.623,0.762,0.47,0.099,0.154,0.072
1988,2,17,0.017,0.027,0.233,-0.051,0.499,0.889,0.846,1.081,0.823,0.368,0.256,0.418,0.139,-0.09,0.667,0.519,0.204
1988,2,18,0.305,0.059,0.532,0.466,1.732,2.692,3.065,3.267,3.402,2.492,2.247,3.146,2.174,1.531,0.987,0.568,0.476
1988,2,19,0.16,0.359,1.057,0.86,2.213,2.459,1.747,1.326,0.826,0.002,-0.026,0.284,-0.094,-0.164,0.743,0.7,0.474
1988,2,20,0.471,0.173,0.482,-0.122,0.641,0.057,0.022,0.086,-0.531,-0.361,-0.179,0.204,-0.012,0.092,0.172,0.039,-0.036
1988,2,21,0.154,0.019,0.449,0.175,0.636,0.108,-0.294,-0.106,-0.331,0.03,0.123,0.647,0.145,0.304,0.219,0.092,-0.042
1988,2,22,0.523,0.462,0.923,0.208,0.827,0.293,0.467,0.768,0.874,0.548,0.364,0.962,0.83,0.635,0.437,0.264,0.087
1988,2,23,0.112,-0.077,0.217,0.089,0.664,0.565,0.152,0.279,0.132,0.053,-0.208,0.359,-0.018,0.278,0.237,-0.047,-0.076
1988,2,24,-0.051,-0.003,0.258,0.038,0.425,0.235,-0.017,0.049,-0.139,-0.209,-0.314,-0.08,-0.247,0.145,0.16,0.028,-0.106
1988,2,25,-0.037,0.013,0.098,-0.04,0.316,0.276,-0.019,0.211,0.058,0.002,-0.169,0.007,-0.029,0.291,0.25,0.155,0.101
1988,2,26,0.007,0.055,0.134,-0.095,0.276,0.173,0.17,0.306,0.081,-0.084,-0.096,0.241,0.029,0.189,-0.04,-0.194,-0.032
1988,2,27,0.18,0.241,0.392,0.204,0.291,0.281,0.156,0.271,-0.136,-0.218,-0.176,-0.32,-0.802,-0.533,-0.641,-0.483,-0.199
1988,2,28,0.162,0.146,0.241,-0.009,0.101,0.199,-0.201,-0.162,-0.994,-0.72,-0.838,-0.832,-0.678,-0.521,-0.362,-0.303,-0.138
1988,2,29,-0.076,-0.022,-0.009,-0.071,-0.021,0.095,-0.126,-0.106,-0.455,-0.315,-0.54,-0.646,-0.816,-0.517,-0.353,-0.101,-0.096
1988,3,1,-0.101,-0.158,-0.106,-0.112,0.042,0.123,0.197,0.521,0.739,1.154,0.821,1.337,0.989,0.906,0.177,0.253,0.198
1988,3,2,-0.437,-0.163,-0.059,-0.156,0.082,0.142,0.333,1.074,2.007,1.879,1.841,2.599,2.576,2.426,1.379,1.471,1.555
1988,3,3,0.216,0.284,0.509,0.173,0.488,0.722,0.293,0.733,1.136,0.691,1.048,1.664,1.286,0.83,0.334,0.303,0.003
1988,3,4,-0.658,-0.6,-0.541,-0.485,-0.18,0.135,-0.256,0.246,0.287,0.077,0.703,1.36,1.216,0.509,0.009,-0.031,-0.147
1988,3,5,-0.982,-1.069,-1.264,-1.028,-0.634,-0.269,-0.228,-0.17,0.504,-0.22,0.456,1.09,1.204,0.603,0.324,0.361,-0.018
1988,3,6,-0.076,0.194,0.343,0.132,0.447,0.497,0.38,0.24,0.61,-0.157,0.598,1.209,0.972,0.982,0.586,0.26,0.079
