Expocode: 332220190617,,,,,,,,,,,,,,,,,,,,
Ship: Shimada,,,,,,,,,,,,,,,,,,,,
Group: PMEL,,,,,,,,,,,,,,,,,,,,
Investigators: ,"Alin, S.R.; Feely, R.A",,,,,,,,,,,,,,,,,,,
Expocode,Group,Ship,YD_UTC,DATE_UTC__ddmmyyyy,TIME_UTC_hh:mm:ss,LAT_dec_degree,LONG_dec_degree,xCO2_EQU_ppm,xCO2_ATM_ppm,xCO2_ATM_interpolated_ppm,PRES_EQU_hPa,PRES_ATM@SSP_hPa,TEMP_EQU_C,SST_C,SAL_PSU,fCO2_SW@SST_uatm,fCO2_ATM_interpolated_uatm,dfCO2_uatm,WOCE_QC_FLAG,QC_SUBFLAG
332220190617,PMEL,Shimada,168.16345,17062019,3:55:22,35.59702,-121.92083,-999,412.61,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190617,PMEL,Shimada,168.1655,17062019,3:58:19,35.58702,-121.9189,-999,412.199,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190617,PMEL,Shimada,168.16685,17062019,4:00:16,35.58091,-121.91566,-999,412.318,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190617,PMEL,Shimada,168.16822,17062019,4:02:14,35.57464,-121.91225,-999,412.427,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190617,PMEL,Shimada,168.16956,17062019,4:04:10,35.56862,-121.9084,-999,412.496,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190617,PMEL,Shimada,168.1709,17062019,4:06:06,35.56275,-121.90458,-999,412.338,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190617,PMEL,Shimada,168.17227,17062019,4:08:04,35.55676,-121.90059,389.527,-999,412.41,1012.32,1013.8192,15.2,14.9821,33.0718,377.78,404.37,-26.59,2,
332220190617,PMEL,Shimada,168.1774,17062019,4:15:27,35.53412,-121.88581,385.213,-999,412.42,1012.35,1013.8796,15.12,14.8415,33.0731,372.68,404.47,-31.79,2,
332220190617,PMEL,Shimada,168.17947,17062019,4:18:26,35.52494,-121.87989,382.342,-999,412.43,1012.35,1013.8798,15.07,14.7855,33.0761,369.83,404.5,-34.67,2,
332220190617,PMEL,Shimada,168.18154,17062019,4:21:25,35.51584,-121.87388,380.622,-999,412.43,1012.35,1013.8198,15.05,14.754,33.0773,367.99,404.49,-36.49,2,
332220190617,PMEL,Shimada,168.1836,17062019,4:24:23,35.50681,-121.86801,378.501,-999,412.44,1012.07,1013.7801,14.98,14.6948,33.079,366.03,404.51,-38.47,2,
332220190617,PMEL,Shimada,168.18568,17062019,4:27:23,35.49767,-121.86211,375.782,-999,412.44,1012.15,1013.8806,14.88,14.6025,33.0797,363.59,404.58,-40.99,2,
332220190617,PMEL,Shimada,168.18775,17062019,4:30:22,35.48852,-121.85603,370.216,-999,412.45,1012.03,1013.9112,14.75,14.4867,33.1012,358.42,404.65,-46.23,2,
332220190617,PMEL,Shimada,168.18985,17062019,4:33:23,35.47932,-121.85011,356.776,-999,412.45,1012.14,1014.0203,14.99,14.6615,33.1436,344.41,404.63,-60.21,2,
332220190617,PMEL,Shimada,168.19192,17062019,4:36:22,35.4702,-121.84405,345.126,-999,412.45,1012.21,1013.9803,14.97,14.7255,33.1554,334.38,404.58,-70.2,2,
332220190617,PMEL,Shimada,168.19424,17062019,4:39:42,35.46001,-121.83745,374.224,-999,412.46,1012.27,1014.0695,15.2,14.8738,33.0661,361.26,404.57,-43.31,2,
332220190617,PMEL,Shimada,168.19632,17062019,4:42:42,35.45087,-121.8315,393.947,-999,412.46,1012.26,1014.0589,15.34,15.034,33.0827,380.56,404.5,-23.93,2,
332220190617,PMEL,Shimada,168.19838,17062019,4:45:40,35.44189,-121.82567,396.889,-999,412.47,1012.23,1014.1589,15.38,15.0901,33.0879,383.64,404.52,-20.88,2,
332220190617,PMEL,Shimada,168.20045,17062019,4:48:39,35.43298,-121.81986,397.785,-999,412.47,1012.24,1014.1288,15.38,15.0936,33.0828,384.57,404.51,-19.94,2,
332220190617,PMEL,Shimada,168.20252,17062019,4:51:38,35.42397,-121.81394,397.578,-999,412.48,1012.28,1014.0688,15.37,15.0843,33.0813,384.4,404.5,-20.1,2,
332220190617,PMEL,Shimada,168.20461,17062019,4:54:38,35.41503,-121.8082,397.775,-999,412.48,1012.21,1014.1388,15.39,15.0994,33.0805,384.47,404.52,-20.05,2,
332220190617,PMEL,Shimada,168.20669,17062019,4:57:38,35.40615,-121.80234,398.484,-999,412.49,1012.08,1014.0587,15.39,15.1026,33.0738,385.16,404.5,-19.34,2,
332220190617,PMEL,Shimada,168.20875,17062019,5:00:36,35.39737,-121.79664,397.482,-999,412.49,1012.28,1014.0288,15.36,15.0825,33.069,384.44,404.49,-20.05,2,
332220190617,PMEL,Shimada,168.21082,17062019,5:03:35,35.38847,-121.7909,395.579,-999,412.5,1012.07,1013.9688,15.34,15.0581,33.0626,382.46,404.49,-22.03,2,
332220190617,PMEL,Shimada,168.21287,17062019,5:06:32,35.37979,-121.78514,395.911,-999,412.5,1012.16,1013.9187,15.34,15.0524,33.0604,382.72,404.47,-21.75,2,
332220190617,PMEL,Shimada,168.21494,17062019,5:09:31,35.37088,-121.77941,394.705,-999,412.51,1012.08,1013.8984,15.41,15.1209,33.0591,381.47,404.44,-22.97,2,
332220190617,PMEL,Shimada,168.21703,17062019,5:12:31,35.36187,-121.77358,393.033,-999,412.51,1012.22,1014.0185,15.43,15.1508,33.0624,380.06,404.48,-24.42,2,
332220190617,PMEL,Shimada,168.21911,17062019,5:15:31,35.35294,-121.76766,393.429,-999,412.52,1012.22,1013.9884,15.44,15.1622,33.0672,380.46,404.47,-24.01,2,
332220190617,PMEL,Shimada,168.22116,17062019,5:18:28,35.34411,-121.76203,395.664,-999,412.52,1012.08,1013.9079,15.53,15.2388,33.0919,382.32,404.41,-22.09,2,
332220190617,PMEL,Shimada,168.22325,17062019,5:21:29,35.3351,-121.75611,399.269,-999,412.53,1012.23,1013.9476,15.61,15.3224,33.1186,385.88,404.4,-18.52,2,
332220190617,PMEL,Shimada,168.22531,17062019,5:24:27,35.32613,-121.7503,400.833,-999,412.53,1011.99,1013.8772,15.69,15.3974,33.1333,387.19,404.34,-17.15,2,
332220190617,PMEL,Shimada,168.22741,17062019,5:27:28,35.31704,-121.74442,402.597,-999,412.54,1012.04,1013.8169,15.75,15.4644,33.1515,389,404.29,-15.29,2,
332220190617,PMEL,Shimada,168.22948,17062019,5:30:27,35.3081,-121.73853,403.023,-999,412.54,1012.04,1013.947,15.76,15.4805,33.157,389.51,404.34,-14.83,2,
332220190617,PMEL,Shimada,168.23156,17062019,5:33:27,35.29892,-121.73266,402.622,-999,412.55,1012.22,1013.917,15.75,15.4782,33.1593,389.32,404.34,-15.02,2,
332220190617,PMEL,Shimada,168.23361,17062019,5:36:24,35.29004,-121.72683,401.992,-999,412.55,1012.11,1013.8971,15.74,15.4687,33.1618,388.68,404.34,-15.65,2,
332220190617,PMEL,Shimada,168.23595,17062019,5:39:46,35.27982,-121.7202,401.562,-999,412.56,1012.07,1013.857,15.73,15.4531,33.1622,388.16,404.34,-16.17,2,
