Expocode: 332220190725,,,,,,,,,,,,,,,,,,,,
Ship: Shimada,,,,,,,,,,,,,,,,,,,,
Group: PMEL,,,,,,,,,,,,,,,,,,,,
Investigators: ,"Alin, S.R.; Feely, R.A",,,,,,,,,,,,,,,,,,,
Expocode,Group,Ship,YD_UTC,DATE_UTC__ddmmyyyy,TIME_UTC_hh:mm:ss,LAT_dec_degree,LONG_dec_degree,xCO2_EQU_ppm,xCO2_ATM_ppm,xCO2_ATM_interpolated_ppm,PRES_EQU_hPa,PRES_ATM@SSP_hPa,TEMP_EQU_C,SST_C,SAL_PSU,fCO2_SW@SST_uatm,fCO2_ATM_interpolated_uatm,dfCO2_uatm,WOCE_QC_FLAG,QC_SUBFLAG
332220190725,PMEL,Shimada,206.12015,25072019,2:53:01,43.3956,-125.18907,-999,404.119,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190725,PMEL,Shimada,206.1215,25072019,2:54:58,43.3956,-125.18909,-999,403.892,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190725,PMEL,Shimada,206.12286,25072019,2:56:55,43.39601,-125.1874,-999,404.313,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190725,PMEL,Shimada,206.12421,25072019,2:58:52,43.39723,-125.18248,-999,403.968,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190725,PMEL,Shimada,206.12557,25072019,3:00:49,43.39838,-125.17596,-999,404.226,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190725,PMEL,Shimada,206.12692,25072019,3:02:46,43.39897,-125.16862,-999,406.214,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,
332220190725,PMEL,Shimada,206.13204,25072019,3:10:08,43.39854,-125.16103,394.607,-999,404.39,1019.74,1021.6266,18.05,17.8813,31.6854,385.1,398.3,-13.2,2,
332220190725,PMEL,Shimada,206.13411,25072019,3:13:07,43.39827,-125.13223,392.471,-999,404.37,1020.21,1021.7771,17.98,17.788,31.7255,382.85,398.38,-15.54,2,
332220190725,PMEL,Shimada,206.13618,25072019,3:16:06,43.39827,-125.12062,390.857,-999,404.35,1020.4,1021.4469,17.92,17.7186,31.7552,381.22,398.27,-17.05,2,
332220190725,PMEL,Shimada,206.13825,25072019,3:19:05,43.39825,-125.10904,389.848,-999,404.33,1020.02,1021.6073,17.88,17.6653,31.8113,379.9,398.34,-18.44,2,
332220190725,PMEL,Shimada,206.14031,25072019,3:22:03,43.39724,-125.09728,383.275,-999,404.32,1020.01,1021.5573,17.87,17.6527,31.8896,373.45,398.31,-24.86,2,
332220190725,PMEL,Shimada,206.14238,25072019,3:25:02,43.39614,-125.08735,378.158,-999,404.3,1020.44,1021.5273,17.85,17.6265,31.9824,368.54,398.3,-29.76,2,
