#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2018 04 30 23 00 307 10.6 999 99.0 9999
2018 04 30 23 10 307 10.6 999 99.0 9999
2018 04 30 23 20 308 10.5 999 99.0 9999
2018 04 30 23 30 308 10.7 999 99.0 9999
2018 04 30 23 40 312 10.5 999 99.0 9999
2018 04 30 23 50 308  9.7 300 13.1 2322
2018 05 01 00 00 309 10.5 999 99.0 9999
2018 05 01 00 10 309 10.1 999 99.0 9999
2018 05 01 00 20 308 10.3 999 99.0 9999
2018 05 01 00 30 309 10.4 999 99.0 9999
2018 05 01 00 40 308 10.2 999 99.0 9999
2018 05 01 00 50 313 10.6 317 12.8 0049
2018 05 01 01 00 313 10.6 999 99.0 9999
2018 05 01 01 10 317 10.5 999 99.0 9999
2018 05 01 01 20 316 11.4 999 99.0 9999
2018 05 01 01 30 317 11.4 999 99.0 9999
2018 05 01 01 40 317 11.3 999 99.0 9999
2018 05 01 01 50 317 11.2 315 14.1 0134
2018 05 01 02 00 316 11.2 999 99.0 9999
2018 05 01 02 10 318 11.9 999 99.0 9999
2018 05 01 02 20 321 12.0 999 99.0 9999
2018 05 01 02 30 319 12.3 999 99.0 9999
2018 05 01 02 40 317 11.7 999 99.0 9999
2018 05 01 02 50 319 11.8 324 14.6 0226
2018 05 01 03 00 315 11.5 999 99.0 9999
2018 05 01 03 10 318 11.7 999 99.0 9999
2018 05 01 03 20 320 11.4 999 99.0 9999
2018 05 01 03 30 318 11.3 999 99.0 9999
2018 05 01 03 40 320 11.2 999 99.0 9999
2018 05 01 03 50 321 11.5 315 14.0 0255
2018 05 01 04 00 320 11.3 999 99.0 9999
2018 05 01 04 10 321 11.0 999 99.0 9999
2018 05 01 04 20 324 11.2 999 99.0 9999
2018 05 01 04 30 320 11.8 999 99.0 9999
2018 05 01 04 40 321 11.7 999 99.0 9999
2018 05 01 04 50 322 11.5 317 14.7 0423
2018 05 01 05 00 321 11.3 999 99.0 9999
2018 05 01 05 10 323 11.3 999 99.0 9999
2018 05 01 05 20 320 11.3 999 99.0 9999
2018 05 01 05 30 322 10.6 999 99.0 9999
2018 05 01 05 40 329 11.4 999 99.0 9999
2018 05 01 05 50 324 11.0 324 14.0 0536
2018 05 01 06 00 322 11.4 999 99.0 9999
2018 05 01 06 10 320 10.9 999 99.0 9999
2018 05 01 06 20 322 11.2 999 99.0 9999
2018 05 01 06 30 320 11.1 999 99.0 9999
2018 05 01 06 40 319 10.8 999 99.0 9999
2018 05 01 06 50 319 10.9 318 14.0 0555
2018 05 01 07 00 319 10.6 999 99.0 9999
2018 05 01 07 10 318 10.2 999 99.0 9999
2018 05 01 07 20 317  9.6 999 99.0 9999
2018 05 01 07 30 315 10.3 999 99.0 9999
2018 05 01 07 40 311 10.0 999 99.0 9999
2018 05 01 07 50 316  9.1 312 13.1 0653
2018 05 01 08 00 313  9.4 999 99.0 9999
2018 05 01 08 10 311  9.4 999 99.0 9999
2018 05 01 08 20 308  9.1 999 99.0 9999
2018 05 01 08 30 304  9.2 999 99.0 9999
2018 05 01 08 40 306  9.0 999 99.0 9999
2018 05 01 08 50 305  8.6 309 11.8 0809
2018 05 01 09 00 304  9.0 999 99.0 9999
2018 05 01 09 10 306  9.3 999 99.0 9999
2018 05 01 09 20 309  9.4 999 99.0 9999
2018 05 01 09 30 307  9.3 999 99.0 9999
2018 05 01 09 40 308  9.5 999 99.0 9999
2018 05 01 09 50 311  9.5 309 12.0 0943
2018 05 01 10 00 312  9.8 999 99.0 9999
2018 05 01 10 10 313  9.6 999 99.0 9999
2018 05 01 10 20 315  9.8 999 99.0 9999
2018 05 01 10 30 313  9.9 999 99.0 9999
2018 05 01 10 40 313  9.9 999 99.0 9999
2018 05 01 10 50 313  9.7 313 12.6 1040
2018 05 01 11 00 310  9.8 999 99.0 9999
2018 05 01 11 10 311  9.8 999 99.0 9999
2018 05 01 11 20 310 10.1 999 99.0 9999
2018 05 01 11 30 314  9.8 999 99.0 9999
2018 05 01 11 40 315 10.4 999 99.0 9999
2018 05 01 11 50 313 10.1 310 12.6 1141
2018 05 01 12 00 315  9.7 999 99.0 9999
2018 05 01 12 10 318 10.3 999 99.0 9999
2018 05 01 12 20 318 10.0 999 99.0 9999
2018 05 01 12 30 317  9.5 999 99.0 9999
2018 05 01 12 40 317  9.5 999 99.0 9999
2018 05 01 12 50 317  9.4 320 12.4 1210
2018 05 01 13 00 322  9.9 999 99.0 9999
2018 05 01 13 10 322 10.3 999 99.0 9999
2018 05 01 13 20 320 10.2 999 99.0 9999
2018 05 01 13 30 318 10.0 999 99.0 9999
2018 05 01 13 40 321 10.2 999 99.0 9999
2018 05 01 13 50 317 10.0 320 12.8 1319
2018 05 01 14 00 324 10.0 999 99.0 9999
2018 05 01 14 10 321  9.1 999 99.0 9999
2018 05 01 14 20 325  8.9 999 99.0 9999
2018 05 01 14 30 328  9.3 999 99.0 9999
2018 05 01 14 40 325  9.0 999 99.0 9999
2018 05 01 14 50 327  9.1 323 11.9 1352
2018 05 01 15 00 324  8.9 999 99.0 9999
2018 05 01 15 10 323  8.6 999 99.0 9999
2018 05 01 15 20 324  8.8 999 99.0 9999
2018 05 01 15 30 321  8.9 999 99.0 9999
2018 05 01 15 40 321  9.2 999 99.0 9999
2018 05 01 15 50 324  9.0 315 11.3 1527
2018 05 01 16 00 326  9.4 999 99.0 9999
2018 05 01 16 10 327  9.8 999 99.0 9999
2018 05 01 16 20 325  9.6 999 99.0 9999
2018 05 01 16 30 331  9.8 999 99.0 9999
2018 05 01 16 40 335  9.8 999 99.0 9999
2018 05 01 16 50 335  9.6 331 12.1 1629
2018 05 01 17 00 339  9.4 999 99.0 9999
2018 05 01 17 10 338  9.2 999 99.0 9999
2018 05 01 17 20 338  9.8 999 99.0 9999
2018 05 01 17 30 335  9.4 999 99.0 9999
2018 05 01 17 40 333  9.7 999 99.0 9999
2018 05 01 17 50 327  9.7 337 12.1 1733
2018 05 01 18 00 331  9.8 999 99.0 9999
2018 05 01 18 10 329 10.0 999 99.0 9999
2018 05 01 18 20 330  9.7 999 99.0 9999
2018 05 01 18 30 331  9.7 999 99.0 9999
2018 05 01 18 40 333 10.0 999 99.0 9999
2018 05 01 18 50 332  9.6 337 12.1 1838
2018 05 01 19 00 331  9.8 999 99.0 9999
2018 05 01 19 10 329 10.4 999 99.0 9999
2018 05 01 19 20 322  9.9 999 99.0 9999
2018 05 01 19 30 324  9.8 999 99.0 9999
2018 05 01 19 40 318  9.9 999 99.0 9999
2018 05 01 19 50 317  9.5 332 12.7 1851
2018 05 01 20 00 319  9.1 999 99.0 9999
2018 05 01 20 10 315  9.3 999 99.0 9999
2018 05 01 20 20 312  9.8 999 99.0 9999
2018 05 01 20 30 313  9.9 999 99.0 9999
2018 05 01 20 40 310 10.0 999 99.0 9999
2018 05 01 20 50 310  9.7 313 12.1 2027
2018 05 01 21 00 310  9.8 999 99.0 9999
2018 05 01 21 10 307  9.7 999 99.0 9999
2018 05 01 21 20 307  9.3 999 99.0 9999
2018 05 01 21 30 309  9.7 999 99.0 9999
2018 05 01 21 40 308  9.5 999 99.0 9999
2018 05 01 21 50 311  9.5 311 12.1 2110
2018 05 01 22 00 310  9.0 999 99.0 9999
2018 05 01 22 10 307  9.2 999 99.0 9999
2018 05 01 22 20 307  9.1 999 99.0 9999
2018 05 01 22 30 312  9.3 999 99.0 9999
2018 05 01 22 40 314  9.4 999 99.0 9999
2018 05 01 22 50 314  9.3 311 11.2 2237
2018 05 01 23 00 312  9.3 999 99.0 9999
2018 05 01 23 10 313  8.9 999 99.0 9999
2018 05 01 23 20 313  9.4 999 99.0 9999
2018 05 01 23 30 312  9.1 999 99.0 9999
2018 05 01 23 40 311  9.1 999 99.0 9999
2018 05 01 23 50 311  8.9 305 11.3 2341
2018 05 02 00 00 309  9.1 999 99.0 9999
2018 05 02 00 10 309  9.8 999 99.0 9999
2018 05 02 00 20 309  9.7 999 99.0 9999
2018 05 02 00 30 309  9.6 999 99.0 9999
2018 05 02 00 40 307  9.4 999 99.0 9999
2018 05 02 00 50 306  9.5 300 11.6 0014
2018 05 02 01 00 304  9.2 999 99.0 9999
2018 05 02 01 10 303  9.3 999 99.0 9999
2018 05 02 01 20 305  9.2 999 99.0 9999
2018 05 02 01 30 308  8.8 999 99.0 9999
2018 05 02 01 40 308  9.4 999 99.0 9999
2018 05 02 01 50 308  9.4 304 11.8 0144
2018 05 02 02 00 309  9.3 999 99.0 9999
2018 05 02 02 10 312  9.0 999 99.0 9999
2018 05 02 02 20 312  8.7 999 99.0 9999
2018 05 02 02 30 311  8.4 999 99.0 9999
2018 05 02 02 40 311  8.2 999 99.0 9999
2018 05 02 02 50 311  8.5 312 11.1 0153
2018 05 02 03 00 315  9.4 999 99.0 9999
2018 05 02 03 10 312  8.7 999 99.0 9999
2018 05 02 03 20 311  9.1 999 99.0 9999
2018 05 02 03 30 316  9.1 999 99.0 9999
2018 05 02 03 40 313  8.5 999 99.0 9999
2018 05 02 03 50 313  8.9 310 11.4 0312
2018 05 02 04 00 310  8.5 999 99.0 9999
2018 05 02 04 10 317  9.2 999 99.0 9999
2018 05 02 04 20 315  8.7 999 99.0 9999
2018 05 02 04 30 312  8.8 999 99.0 9999
2018 05 02 04 40 316  9.8 999 99.0 9999
2018 05 02 04 50 321  8.6 321 12.2 0432
2018 05 02 05 00 320  9.3 999 99.0 9999
2018 05 02 05 10 318  9.5 999 99.0 9999
2018 05 02 05 20 324  8.1 999 99.0 9999
2018 05 02 05 30 327  8.1 999 99.0 9999
2018 05 02 05 40 325  7.3 999 99.0 9999
2018 05 02 05 50 327  7.4 317 11.1 0502
2018 05 02 06 00 320  7.2 999 99.0 9999
2018 05 02 06 10 318  7.5 999 99.0 9999
2018 05 02 06 20 316  7.2 999 99.0 9999
2018 05 02 06 30 315  7.6 999 99.0 9999
2018 05 02 06 40 312  7.9 999 99.0 9999
2018 05 02 06 50 314  8.2 318  9.7 0645
2018 05 02 07 00 314  7.8 999 99.0 9999
2018 05 02 07 10 310  7.1 999 99.0 9999
2018 05 02 07 20 306  7.8 999 99.0 9999
2018 05 02 07 30 303  7.2 999 99.0 9999
2018 05 02 07 40 305  6.7 999 99.0 9999
2018 05 02 07 50 307  7.2 319  9.6 0651
2018 05 02 09 00 311  5.0 999 99.0 9999
2018 05 02 09 10 315  4.8 999 99.0 9999
2018 05 02 09 20 311  5.0 999 99.0 9999
2018 05 02 09 30 307  5.0 999 99.0 9999
2018 05 02 09 40 316  4.4 999 99.0 9999
2018 05 02 09 50 307  4.1 321  6.4 0910
2018 05 02 10 00 317  4.0 999 99.0 9999
2018 05 02 10 10 315  4.4 999 99.0 9999
2018 05 02 10 20 299  4.5 999 99.0 9999
2018 05 02 10 30 306  4.4 999 99.0 9999
2018 05 02 10 40 302  5.0 999 99.0 9999
2018 05 02 10 50 295  5.1 293  6.4 1047
