#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 12 31 23 00 357  8.3 999 99.0 9999
2014 12 31 23 10 348  8.4 999 99.0 9999
2014 12 31 23 20 340  9.1 999 99.0 9999
2014 12 31 23 30 341  8.3 999 99.0 9999
2014 12 31 23 40 333  7.9 999 99.0 9999
2014 12 31 23 50 333  7.3 341 10.7 2313
2015 01 01 00 00 335  7.9 999 99.0 9999
2015 01 01 00 10 342  7.0 999 99.0 9999
2015 01 01 00 20 340  7.0 999 99.0 9999
2015 01 01 00 30 336  7.4 999 99.0 9999
2015 01 01 00 40 335  7.8 999 99.0 9999
2015 01 01 00 50 335  8.1 333  9.6 0040
2015 01 01 01 00 331  8.6 999 99.0 9999
2015 01 01 01 10 327  9.3 999 99.0 9999
2015 01 01 01 20 326  8.6 999 99.0 9999
2015 01 01 01 30 328  8.0 999 99.0 9999
2015 01 01 01 40 328  8.0 999 99.0 9999
2015 01 01 01 50 328  7.8 325 10.9 0057
2015 01 01 03 00 326  6.5 999 99.0 9999
2015 01 01 03 10 327  6.5 999 99.0 9999
2015 01 01 03 20 327  5.8 999 99.0 9999
2015 01 01 03 30 322  5.5 999 99.0 9999
2015 01 01 03 40 325  4.8 999 99.0 9999
2015 01 01 03 50 323  4.6 325  7.8 0255
2015 01 01 04 00 321  4.6 999 99.0 9999
2015 01 01 04 10 324  4.9 999 99.0 9999
2015 01 01 04 20 332  4.6 999 99.0 9999
2015 01 01 04 30 331  4.8 999 99.0 9999
2015 01 01 04 40 326  4.5 999 99.0 9999
2015 01 01 04 50 333  4.1 319  6.2 0406
2015 01 01 05 00 332  3.7 999 99.0 9999
2015 01 01 05 10 337  3.6 999 99.0 9999
2015 01 01 05 20 336  3.5 999 99.0 9999
2015 01 01 05 30 338  2.9 999 99.0 9999
2015 01 01 05 40 327  3.5 999 99.0 9999
2015 01 01 05 50 324  3.4 341  4.8 0451
2015 01 01 07 00 311  3.8 999 99.0 9999
2015 01 01 07 10 301  3.9 999 99.0 9999
2015 01 01 07 20 303  4.0 999 99.0 9999
2015 01 01 07 30 302  3.9 999 99.0 9999
2015 01 01 07 40 310  3.8 999 99.0 9999
2015 01 01 07 50 305  4.0 301  5.1 0749
2015 01 01 09 00 314  4.8 999 99.0 9999
2015 01 01 09 10 318  4.8 999 99.0 9999
2015 01 01 09 20 329  5.1 999 99.0 9999
2015 01 01 09 30 348  5.4 999 99.0 9999
2015 01 01 09 40 348  4.9 999 99.0 9999
2015 01 01 09 50 336  4.6 347  6.9 0925
2015 01 01 10 00 343  4.3 999 99.0 9999
2015 01 01 10 10   8  4.4 999 99.0 9999
2015 01 01 10 20  49  4.5 999 99.0 9999
2015 01 01 10 30  58  5.0 999 99.0 9999
2015 01 01 10 40  67  5.0 999 99.0 9999
2015 01 01 10 50  70  4.7 357  6.2 1004
2015 01 01 11 00  70  4.9 999 99.0 9999
2015 01 01 11 10  66  5.0 999 99.0 9999
2015 01 01 11 20  64  4.6 999 99.0 9999
