#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2008 12 31 23 00 331  9.0 999 99.0 9999
2008 12 31 23 10 327  8.9 999 99.0 9999
2008 12 31 23 20 328  9.2 999 99.0 9999
2008 12 31 23 30 330  9.1 999 99.0 9999
2008 12 31 23 40 323  9.0 999 99.0 9999
2008 12 31 23 50 332  8.9 320 10.9 2341
2009 01 01 00 00 335  8.6 999 99.0 9999
2009 01 01 00 10 327  9.6 999 99.0 9999
2009 01 01 00 20 327  9.7 999 99.0 9999
2009 01 01 00 30 326 10.2 999 99.0 9999
2009 01 01 00 40 328 10.1 999 99.0 9999
2009 01 01 00 50 329  9.8 319 12.7 0026
2009 01 01 01 00 333 10.5 999 99.0 9999
2009 01 01 01 10 332  9.5 999 99.0 9999
2009 01 01 01 20 334  9.3 999 99.0 9999
2009 01 01 01 30 330  9.7 999 99.0 9999
2009 01 01 01 40 328  9.8 999 99.0 9999
2009 01 01 01 50 329 10.2 324 13.2 0143
2009 01 01 03 00 332 10.2 999 99.0 9999
2009 01 01 03 10 328 10.1 999 99.0 9999
2009 01 01 03 20 336  9.4 999 99.0 9999
2009 01 01 03 30 339  8.9 999 99.0 9999
2009 01 01 03 40 341  8.8 999 99.0 9999
2009 01 01 03 50 340  9.3 329 12.4 0301
2009 01 01 04 00 335  9.4 999 99.0 9999
2009 01 01 04 10 341  9.5 999 99.0 9999
2009 01 01 04 20 339  9.5 999 99.0 9999
2009 01 01 04 30 334  9.2 999 99.0 9999
2009 01 01 04 40 337  8.5 999 99.0 9999
2009 01 01 04 50 341  8.2 343 11.8 0401
2009 01 01 05 00 343  8.6 999 99.0 9999
2009 01 01 05 10 343  8.5 999 99.0 9999
2009 01 01 05 20 339  8.9 999 99.0 9999
2009 01 01 05 30 341  8.6 999 99.0 9999
2009 01 01 05 40 344  9.4 999 99.0 9999
2009 01 01 05 50 342  9.5 338 11.5 0539
2009 01 01 06 00 338  8.8 999 99.0 9999
2009 01 01 06 10 340  8.9 999 99.0 9999
2009 01 01 06 20 345  8.6 999 99.0 9999
2009 01 01 06 30 346  8.2 999 99.0 9999
2009 01 01 06 40 340  8.7 999 99.0 9999
2009 01 01 06 50 348  8.1 340 10.7 0601
2009 01 01 07 00 340  7.7 999 99.0 9999
2009 01 01 07 10 346  7.8 999 99.0 9999
2009 01 01 07 20 338  7.7 999 99.0 9999
2009 01 01 07 30 343  7.7 999 99.0 9999
2009 01 01 07 40 343  7.2 999 99.0 9999
2009 01 01 07 50 338  7.9 346 10.2 0703
2009 01 01 08 00 345  7.9 999 99.0 9999
2009 01 01 08 10 348  8.2 999 99.0 9999
2009 01 01 08 20 346  7.9 999 99.0 9999
2009 01 01 08 30 337  8.3 999 99.0 9999
2009 01 01 08 40 346  8.2 999 99.0 9999
2009 01 01 08 50 345  8.0 337 10.9 0755
2009 01 01 09 00 340  7.9 999 99.0 9999
2009 01 01 09 10 341  7.9 999 99.0 9999
2009 01 01 09 20 338  8.1 999 99.0 9999
2009 01 01 09 30 334  7.9 999 99.0 9999
2009 01 01 09 40 345  7.9 999 99.0 9999
2009 01 01 09 50 338  8.0 344 10.2 0940
2009 01 01 10 00 344  8.3 999 99.0 9999
2009 01 01 10 10 340  8.1 999 99.0 9999
2009 01 01 10 20 338  8.0 999 99.0 9999
2009 01 01 10 30 336  7.9 999 99.0 9999
2009 01 01 10 40 328  7.9 999 99.0 9999
2009 01 01 10 50 332  8.2 343 10.5 1011
2009 01 01 11 00 339  7.5 999 99.0 9999
2009 01 01 11 10 339  7.4 999 99.0 9999
2009 01 01 11 20 339  7.7 999 99.0 9999
2009 01 01 11 30 332  7.7 999 99.0 9999
2009 01 01 11 40 335  7.0 999 99.0 9999
2009 01 01 11 50 345  6.4 334  9.8 1057
2009 01 01 12 00 353  6.2 999 99.0 9999
2009 01 01 12 10 348  6.1 999 99.0 9999
2009 01 01 12 20 340  6.3 999 99.0 9999
2009 01 01 12 30 349  6.8 999 99.0 9999
2009 01 01 12 40 350  6.6 999 99.0 9999
2009 01 01 12 50 351  6.4 341  8.7 1230
2009 01 01 13 00 356  6.5 999 99.0 9999
2009 01 01 13 10 354  6.5 999 99.0 9999
2009 01 01 13 20 354  6.0 999 99.0 9999
2009 01 01 13 30 349  6.1 999 99.0 9999
2009 01 01 13 40 350  6.2 999 99.0 9999
2009 01 01 13 50 346  6.6 346  8.2 1347
2009 01 01 14 00 346  6.5 999 99.0 9999
2009 01 01 14 10 356  5.8 999 99.0 9999
2009 01 01 14 20 355  6.6 999 99.0 9999
2009 01 01 14 30 358  6.8 999 99.0 9999
2009 01 01 14 40 345  7.5 999 99.0 9999
2009 01 01 14 50 348  6.8 347  9.8 1440
2009 01 01 15 00 348  7.3 999 99.0 9999
2009 01 01 15 10 346  7.5 999 99.0 9999
2009 01 01 15 20 353  6.5 999 99.0 9999
