#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2018 02 01 21 00 274  1.4 999 99.0 9999
2018 02 01 21 10 269  0.9 999 99.0 9999
2018 02 01 21 20 326  1.2 999 99.0 9999
2018 02 01 21 30 323  0.8 999 99.0 9999
2018 02 01 21 40 295  1.1 999 99.0 9999
2018 02 01 21 50 301  1.1 309  2.8 2050
2018 02 01 22 00 328  2.1 999 99.0 9999
2018 02 01 22 10 324  2.2 999 99.0 9999
2018 02 01 22 20 337  3.0 999 99.0 9999
2018 02 01 22 30 353  3.5 999 99.0 9999
2018 02 01 22 40  14  3.2 999 99.0 9999
2018 02 01 22 50  12  3.0 342  4.5 2225
2018 02 01 23 00   1  3.5 999 99.0 9999
2018 02 01 23 10 357  3.9 999 99.0 9999
2018 02 01 23 20 359  4.3 999 99.0 9999
2018 02 01 23 30 352  5.0 999 99.0 9999
2018 02 01 23 40 355  5.8 999 99.0 9999
2018 02 01 23 50 360  6.2 353  8.0 2345
2018 02 02 00 00   1  6.5 999 99.0 9999
2018 02 02 00 10   8  6.1 999 99.0 9999
2018 02 02 00 20   2  6.3 999 99.0 9999
2018 02 02 00 30   2  6.2 999 99.0 9999
2018 02 02 00 40 355  6.6 999 99.0 9999
2018 02 02 00 50 338  8.0 336  9.4 0045
2018 02 02 01 00 335  8.4 999 99.0 9999
2018 02 02 01 10 336  8.1 999 99.0 9999
2018 02 02 01 20 334  8.3 999 99.0 9999
2018 02 02 01 30 333  8.2 999 99.0 9999
2018 02 02 01 40 333  8.4 999 99.0 9999
2018 02 02 01 50 335  8.5 332 10.0 0147
2018 02 02 02 00 335  8.3 999 99.0 9999
2018 02 02 02 10 334  8.4 999 99.0 9999
2018 02 02 02 20 333  8.7 999 99.0 9999
2018 02 02 02 30 333  8.9 999 99.0 9999
2018 02 02 02 40 337  8.6 999 99.0 9999
2018 02 02 02 50 338  8.6 330 10.4 0219
2018 02 02 03 00 330  8.6 999 99.0 9999
2018 02 02 03 10 329  8.4 999 99.0 9999
2018 02 02 03 20 328  8.3 999 99.0 9999
2018 02 02 03 30 323  8.1 999 99.0 9999
2018 02 02 03 40 324  7.9 999 99.0 9999
2018 02 02 03 50 324  7.8 331 10.1 0255
2018 02 02 04 00 325  8.0 999 99.0 9999
2018 02 02 04 10 323  8.1 999 99.0 9999
2018 02 02 04 20 321  8.4 999 99.0 9999
2018 02 02 04 30 321  8.3 999 99.0 9999
2018 02 02 04 40 324  8.0 999 99.0 9999
2018 02 02 04 50 325  7.6 322  9.8 0358
2018 02 02 05 00 324  7.7 999 99.0 9999
2018 02 02 05 10 328  7.5 999 99.0 9999
2018 02 02 05 20 328  7.4 999 99.0 9999
2018 02 02 05 30 328  7.3 999 99.0 9999
2018 02 02 05 40 328  7.6 999 99.0 9999
2018 02 02 05 50 329  7.7 329  8.9 0538
2018 02 02 06 00 328  7.5 999 99.0 9999
2018 02 02 06 10 327  7.1 999 99.0 9999
2018 02 02 06 20 328  7.0 999 99.0 9999
2018 02 02 06 30 327  7.4 999 99.0 9999
2018 02 02 06 40 328  7.1 999 99.0 9999
2018 02 02 06 50 331  6.2 322  8.5 0626
2018 02 02 07 00 330  6.0 999 99.0 9999
2018 02 02 07 10 332  6.1 999 99.0 9999
2018 02 02 07 20 334  6.2 999 99.0 9999
2018 02 02 07 30 334  6.1 999 99.0 9999
2018 02 02 07 40 336  6.0 999 99.0 9999
2018 02 02 07 50 338  5.5 330  7.6 0737
2018 02 02 08 00 350  5.1 999 99.0 9999
2018 02 02 08 10   1  5.2 999 99.0 9999
2018 02 02 08 20   3  4.9 999 99.0 9999
2018 02 02 08 30  12  4.5 999 99.0 9999
2018 02 02 08 40   2  3.9 999 99.0 9999
2018 02 02 08 50 356  4.0 344  6.5 0801
2018 02 02 09 00 347  4.4 999 99.0 9999
2018 02 02 09 10 347  4.6 999 99.0 9999
2018 02 02 09 20 343  4.7 999 99.0 9999
2018 02 02 09 30 335  5.1 999 99.0 9999
2018 02 02 09 40 329  5.7 999 99.0 9999
2018 02 02 09 50 328  6.4 327  7.5 0946
2018 02 02 10 00 331  6.5 999 99.0 9999
2018 02 02 10 10 331  6.2 999 99.0 9999
2018 02 02 10 20 332  5.8 999 99.0 9999
2018 02 02 10 30 337  5.7 999 99.0 9999
2018 02 02 10 40 340  5.3 999 99.0 9999
2018 02 02 10 50 345  5.0 329  8.3 1002
2018 02 02 11 00 343  4.7 999 99.0 9999
2018 02 02 11 10 346  4.5 999 99.0 9999
2018 02 02 11 20 343  3.9 999 99.0 9999
2018 02 02 11 30 344  3.8 999 99.0 9999
2018 02 02 11 40 344  3.8 999 99.0 9999
2018 02 02 11 50 344  3.3 346  5.5 1053
2018 02 02 12 00 350  3.3 999 99.0 9999
2018 02 02 12 10 349  3.4 999 99.0 9999
2018 02 02 12 20 352  3.4 999 99.0 9999
2018 02 02 12 30 355  2.9 999 99.0 9999
2018 02 02 12 40 351  3.2 999 99.0 9999
2018 02 02 12 50 338  3.2 346  4.2 1201
2018 02 02 13 00 330  3.2 999 99.0 9999
2018 02 02 13 10 332  3.2 999 99.0 9999
2018 02 02 13 20 334  3.5 999 99.0 9999
2018 02 02 13 30 333  3.7 999 99.0 9999
2018 02 02 13 40 324  4.3 999 99.0 9999
2018 02 02 13 50 326  4.5 331  5.6 1349
2018 02 02 14 00 333  5.1 999 99.0 9999
2018 02 02 14 10 340  4.9 999 99.0 9999
2018 02 02 14 20 345  4.6 999 99.0 9999
2018 02 02 14 30 344  4.3 999 99.0 9999
2018 02 02 14 40 343  4.4 999 99.0 9999
2018 02 02 14 50 344  4.3 333  5.9 1400
2018 02 02 15 00 345  4.2 999 99.0 9999
2018 02 02 15 10 345  4.3 999 99.0 9999
2018 02 02 15 20 348  4.0 999 99.0 9999
2018 02 02 15 30 347  3.6 999 99.0 9999
2018 02 02 15 40 339  4.2 999 99.0 9999
2018 02 02 15 50 337  4.0 334  5.0 1537
2018 02 02 16 00 337  3.6 999 99.0 9999
2018 02 02 16 10 338  3.4 999 99.0 9999
2018 02 02 16 20 330  3.0 999 99.0 9999
2018 02 02 16 30 327  3.4 999 99.0 9999
2018 02 02 16 40 329  2.8 999 99.0 9999
2018 02 02 16 50 329  2.8 333  4.3 1558
2018 02 02 17 00 333  2.0 999 99.0 9999
2018 02 02 17 10 333  2.1 999 99.0 9999
2018 02 02 17 20 340  2.1 999 99.0 9999
2018 02 02 17 30 352  2.8 999 99.0 9999
2018 02 02 17 40 355  3.4 999 99.0 9999
2018 02 02 17 50 360  2.3 356  4.2 1731
2018 02 02 18 00   3  2.4 999 99.0 9999
2018 02 02 18 10  22  1.6 999 99.0 9999
2018 02 02 18 20  17  1.7 999 99.0 9999
2018 02 02 18 30  16  2.0 999 99.0 9999
2018 02 02 18 40  26  2.1 999 99.0 9999
2018 02 02 18 50  21  1.5   5  2.9 1752
2018 02 02 19 00  31  1.2 999 99.0 9999
2018 02 02 19 10  24  1.2 999 99.0 9999
2018 02 02 19 20  71  0.5 999 99.0 9999
2018 02 02 19 30  81  0.4 999 99.0 9999
2018 02 02 19 40  48  0.2 999 99.0 9999
2018 02 02 19 50 313  0.6  11  1.7 1901
2018 02 02 20 00 307  0.6 999 99.0 9999
2018 02 02 20 10 316  0.5 999 99.0 9999
2018 02 02 20 20 306  1.1 999 99.0 9999
2018 02 02 20 30 311  0.9 999 99.0 9999
2018 02 02 20 40 310  0.3 999 99.0 9999
2018 02 02 20 50 295  1.2 295  1.7 2046
2018 02 02 21 00 306  1.8 999 99.0 9999
2018 02 02 21 10 308  1.4 999 99.0 9999
2018 02 02 21 20 293  1.8 999 99.0 9999
2018 02 02 21 30 290  2.6 999 99.0 9999
2018 02 02 21 40 289  1.7 999 99.0 9999
2018 02 02 21 50 285  2.3 294  3.4 2126
2018 02 02 22 00 284  2.3 999 99.0 9999
2018 02 02 22 10 279  2.0 999 99.0 9999
2018 02 02 22 20 279  1.9 999 99.0 9999
2018 02 02 22 30 289  2.6 999 99.0 9999
2018 02 02 22 40 292  2.9 999 99.0 9999
2018 02 02 22 50 287  3.2 287  4.0 2150
2018 02 02 23 00 287  4.2 999 99.0 9999
2018 02 02 23 10 295  4.8 999 99.0 9999
2018 02 02 23 20 310  5.0 999 99.0 9999
2018 02 02 23 30 321  5.3 999 99.0 9999
2018 02 02 23 40 320  5.3 999 99.0 9999
2018 02 02 23 50 319  5.4 317  6.5 2339
2018 02 03 00 00 330  5.7 999 99.0 9999
2018 02 03 00 10 328  6.9 999 99.0 9999
2018 02 03 00 20 329  7.4 999 99.0 9999
2018 02 03 00 30 336  6.1 999 99.0 9999
2018 02 03 00 40 346  5.6 999 99.0 9999
2018 02 03 00 50 350  5.5 327  8.4 0013
2018 02 03 01 00 353  4.9 999 99.0 9999
2018 02 03 01 10 348  5.0 999 99.0 9999
2018 02 03 01 20 342  5.4 999 99.0 9999
2018 02 03 01 30 348  5.5 999 99.0 9999
2018 02 03 01 40 355  5.3 999 99.0 9999
2018 02 03 01 50 347  6.3 347  7.6 0148
2018 02 03 02 00 348  5.9 999 99.0 9999
2018 02 03 02 10 354  5.1 999 99.0 9999
2018 02 03 02 20 354  5.1 999 99.0 9999
2018 02 03 02 30 352  5.2 999 99.0 9999
2018 02 03 02 40 347  5.7 999 99.0 9999
2018 02 03 02 50 339  4.1 343  7.6 0238
2018 02 03 03 00 345  5.6 999 99.0 9999
2018 02 03 03 10 347  5.9 999 99.0 9999
2018 02 03 03 20 347  5.1 999 99.0 9999
2018 02 03 03 30 334  4.1 999 99.0 9999
2018 02 03 03 40 327  4.8 999 99.0 9999
2018 02 03 03 50 337  5.7 347  6.9 0300
2018 02 03 04 00 346  5.0 999 99.0 9999
2018 02 03 04 10 358  3.8 999 99.0 9999
2018 02 03 04 20   4  4.0 999 99.0 9999
2018 02 03 04 30   1  3.8 999 99.0 9999
2018 02 03 04 40 358  3.4 999 99.0 9999
2018 02 03 04 50 350  2.6 343  6.1 0354
2018 02 03 05 00 342  2.4 999 99.0 9999
2018 02 03 05 10 343  2.9 999 99.0 9999
2018 02 03 05 20 337  2.9 999 99.0 9999
2018 02 03 05 30 334  2.8 999 99.0 9999
2018 02 03 05 40 344  3.0 999 99.0 9999
2018 02 03 05 50 355  3.2 340  4.0 0549
2018 02 03 06 00  10  3.1 999 99.0 9999
2018 02 03 06 10  12  3.1 999 99.0 9999
2018 02 03 06 20  23  2.2 999 99.0 9999
2018 02 03 06 30  21  2.1 999 99.0 9999
2018 02 03 06 40   7  2.7 999 99.0 9999
2018 02 03 06 50 353  2.8 346  3.9 0550
2018 02 03 07 00 345  2.8 999 99.0 9999
2018 02 03 07 10 344  2.9 999 99.0 9999
2018 02 03 07 20 344  4.0 999 99.0 9999
2018 02 03 07 30 345  4.0 999 99.0 9999
2018 02 03 07 40 344  3.8 999 99.0 9999
2018 02 03 07 50 344  3.0 347  4.8 0720
2018 02 03 08 00 349  3.1 999 99.0 9999
2018 02 03 08 10 346  2.6 999 99.0 9999
2018 02 03 08 20 344  2.0 999 99.0 9999
2018 02 03 08 30 349  2.8 999 99.0 9999
2018 02 03 08 40 355  3.1 999 99.0 9999
2018 02 03 08 50 350  3.8 342  4.7 0845
2018 02 03 09 00 349  4.2 999 99.0 9999
2018 02 03 09 10 352  3.8 999 99.0 9999
2018 02 03 09 20 353  3.0 999 99.0 9999
2018 02 03 09 30   1  2.8 999 99.0 9999
2018 02 03 09 40 358  2.9 999 99.0 9999
2018 02 03 09 50   9  2.4 347  5.2 0856
2018 02 03 10 00  10  2.1 999 99.0 9999
