#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 46 999 99.0 99.0  2.91 18.18 12.06 290 9999.0 999.0  12.9 999.0 99.0 99.00
2013 01 01 06 16 999 99.0 99.0  2.79 18.18 11.65 291 9999.0 999.0  12.9 999.0 99.0 99.00
2013 01 01 06 46 999 99.0 99.0  2.38 18.18 11.03 297 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 07 16 999 99.0 99.0  2.67 18.18 12.17 290 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 07 46 999 99.0 99.0  2.61 18.18 11.37 291 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 08 16 999 99.0 99.0  2.74 18.18 12.55 286 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 08 46 999 99.0 99.0  2.61 18.18 12.17 289 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 09 16 999 99.0 99.0  2.42 16.67 11.79 289 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 09 46 999 99.0 99.0  2.86 16.67 12.97 291 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 10 16 999 99.0 99.0  2.80 18.18 12.98 289 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 10 46 999 99.0 99.0  2.64 18.18 12.69 291 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 11 16 999 99.0 99.0  2.76 16.67 13.09 298 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 11 46 999 99.0 99.0  2.78 18.18 13.07 286 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 12 16 999 99.0 99.0  2.57 16.67 12.58 286 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 12 46 999 99.0 99.0  2.88 16.67 13.16 290 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 13 16 999 99.0 99.0  3.04 16.67 13.63 290 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 13 46 999 99.0 99.0  2.80 16.67 13.28 296 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 14 16 999 99.0 99.0  3.00 16.67 13.87 290 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 14 46 999 99.0 99.0  2.50 15.38 12.77 294 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 15 16 999 99.0 99.0  2.95 16.67 13.53 300 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 15 46 999 99.0 99.0  3.04 16.67 13.14 294 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 16 16 999 99.0 99.0  3.18 15.38 12.92 291 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 16 46 999 99.0 99.0  2.60 16.67 12.19 286 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 17 16 999 99.0 99.0  3.00 15.38 13.59 294 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 17 46 999 99.0 99.0  3.18 16.67 13.46 293 9999.0 999.0  12.8 999.0 99.0 99.00
2013 01 01 18 16 999 99.0 99.0  2.77 16.67 13.18 293 9999.0 999.0  12.8 999.0 99.0 99.00
