#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 22 53 999 99.0 99.0  3.32  7.14  6.36 145 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 23 23 999 99.0 99.0  3.51  7.14  6.45 138 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 23 53 999 99.0 99.0  3.21  7.69  6.40 142 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 00 23 999 99.0 99.0  3.58  7.69  6.67 142 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 00 53 999 99.0 99.0  3.41  7.69  6.58 141 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 01 53 999 99.0 99.0  3.36  7.69  6.62 142 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 02 23 999 99.0 99.0  3.28  7.69  6.60 148 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 02 53 999 99.0 99.0  3.31  7.69  6.67 144 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 03 23 999 99.0 99.0  3.47  7.69  6.95 144 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 03 53 999 99.0 99.0  3.56  7.69  7.07 144 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 04 23 999 99.0 99.0  3.66  7.69  7.19 141 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 04 53 999 99.0 99.0  3.79  7.69  7.38 140 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 05 23 999 99.0 99.0  4.03  8.33  7.63 141 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 05 53 999 99.0 99.0  4.48 16.67  8.45 306 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 06 23 999 99.0 99.0  4.43 16.67  8.25 306 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 06 53 999 99.0 99.0  4.57 16.67  8.56 304 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 07 23 999 99.0 99.0  4.87 15.38  8.13 300 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 07 53 999 99.0 99.0  5.06 16.67  8.69 303 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 08 23 999 99.0 99.0  4.43 16.67  8.38 296 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 08 53 999 99.0 99.0  5.13 14.29  8.81 301 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 09 23 999 99.0 99.0  4.90 15.38  8.76 303 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 09 53 999 99.0 99.0  4.99 14.29  8.17 307 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 10 23 999 99.0 99.0  4.81 16.67  8.34 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 10 53 999 99.0 99.0  4.85 16.67  8.77 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 11 23 999 99.0 99.0  5.16 16.67  8.71 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 11 53 999 99.0 99.0  4.62 15.38  8.53 303 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 12 23 999 99.0 99.0  5.14 16.67  8.95 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 12 53 999 99.0 99.0  5.13  9.09  8.74 144 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 13 23 999 99.0 99.0  5.01 16.67  9.18 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 13 53 999 99.0 99.0  4.84 15.38  8.80 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 14 23 999 99.0 99.0  4.88 16.67  8.70 310 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 14 53 999 99.0 99.0  5.01 16.67  8.58 304 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 15 23 999 99.0 99.0  4.67 15.38  8.73 304 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 15 53 999 99.0 99.0  4.59 13.33  8.78 304 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 16 23 999 99.0 99.0  4.22 16.67  8.33 296 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 16 53 999 99.0 99.0  4.70 16.67  9.67 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 17 23 999 99.0 99.0  4.20 15.38  8.61 293 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 17 53 999 99.0 99.0  4.23 16.67  8.53 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 18 23 999 99.0 99.0  4.37 15.38  9.27 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 18 53 999 99.0 99.0  4.11 15.38  9.01 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 19 23 999 99.0 99.0  4.39 15.38  9.40 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 19 53 999 99.0 99.0  4.07 15.38  9.62 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 20 23 999 99.0 99.0  3.54 14.29  8.62 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 20 53 999 99.0 99.0  3.86 13.33  9.08 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 21 23 999 99.0 99.0  3.71 14.29  9.64 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 21 53 999 99.0 99.0  3.52 14.29  9.41 296 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 22 23 999 99.0 99.0  3.27 14.29  8.88 297 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 22 53 999 99.0 99.0  3.25 14.29  9.43 306 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 23 23 999 99.0 99.0  3.08 14.29  9.10 308 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 23 53 999 99.0 99.0  3.15 14.29  9.39 307 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 00 23 999 99.0 99.0  3.05 14.29  9.63 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 00 53 999 99.0 99.0  3.33 13.33  9.79 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 01 23 999 99.0 99.0  3.47 14.29 10.01 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 01 53 999 99.0 99.0  2.92 13.33  9.14 306 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 02 53 999 99.0 99.0  3.02 12.50  9.16 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 03 23 999 99.0 99.0  3.23 13.33  9.59 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 03 53 999 99.0 99.0  2.90 13.33  8.98 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 04 23 999 99.0 99.0  3.20 13.33  9.39 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 04 53 999 99.0 99.0  3.40 13.33  9.64 297 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 05 23 999 99.0 99.0  3.32 12.50  9.28 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 06 23 999 99.0 99.0  3.36 12.50  9.80 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 06 53 999 99.0 99.0  3.23 12.50  9.35 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 07 23 999 99.0 99.0  3.22 13.33  9.15 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 07 53 999 99.0 99.0  3.24 12.50  9.21 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 08 23 999 99.0 99.0  3.23 13.33  9.47 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 08 53 999 99.0 99.0  3.12 12.50  9.42 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 09 23 999 99.0 99.0  3.06 12.50  9.13 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 09 53 999 99.0 99.0  3.08 14.29  9.39 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 10 53 999 99.0 99.0  3.06 12.50  9.38 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 11 23 999 99.0 99.0  2.77 14.29  9.62 296 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 11 53 999 99.0 99.0  2.80 12.50  9.65 300 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 03 12 23 999 99.0 99.0  2.65 13.33  9.86 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 12 53 999 99.0 99.0  2.44 10.53  9.54 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 13 23 999 99.0 99.0  2.45 15.38  9.80 307 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 13 53 999 99.0 99.0  2.51 15.38  9.98 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 14 23 999 99.0 99.0  2.74 14.29 10.13 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 14 53 999 99.0 99.0  2.01 14.29  9.12 313 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 15 23 999 99.0 99.0  2.35 14.29  9.65 310 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 15 53 999 99.0 99.0  2.31 13.33  9.66 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 16 23 999 99.0 99.0  2.43 14.29  9.87 296 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 16 53 999 99.0 99.0  2.34 14.29  9.56 306 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 17 23 999 99.0 99.0  2.28 14.29  9.41 293 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 17 53 999 99.0 99.0  2.25 14.29  9.78 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 18 23 999 99.0 99.0  2.31 14.29  9.88 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 03 18 53 999 99.0 99.0  2.30 13.33  9.64 303 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 03 19 23 999 99.0 99.0  2.11 13.33  9.56 297 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 03 19 53 999 99.0 99.0  2.00 13.33  9.08 301 9999.0 999.0  12.6 999.0 99.0 99.00
