#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 29 999 99.0 99.0  1.36 12.50  5.90 284 9999.0 999.0  13.2 999.0 99.0 99.00
2015 01 01 00 59 999 99.0 99.0  1.32 12.50  5.92 296 9999.0 999.0  13.2 999.0 99.0 99.00
2015 01 01 01 29 999 99.0 99.0  1.21 13.33  5.85 296 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 01 59 999 99.0 99.0  1.14 13.33  6.03 291 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 01 02 29 999 99.0 99.0  1.13 12.50  5.88 279 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 01 02 59 999 99.0 99.0  1.15 12.50  6.12 287 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 01 03 29 999 99.0 99.0  1.11 13.33  6.45 291 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 01 03 59 999 99.0 99.0  1.07 13.33  6.38 289 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 01 04 29 999 99.0 99.0  1.13 13.33  6.40 291 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 04 59 999 99.0 99.0  1.12 13.33  6.27 286 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 05 29 999 99.0 99.0  1.12 11.76  5.82 286 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 05 59 999 99.0 99.0  1.13 12.50  6.09 287 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 01 06 29 999 99.0 99.0  1.16 13.33  6.56 284 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 01 06 59 999 99.0 99.0  1.02 11.76  5.90 279 9999.0 999.0  13.2 999.0 99.0 99.00
2015 01 01 07 29 999 99.0 99.0  1.02 12.50  6.15 300 9999.0 999.0  13.2 999.0 99.0 99.00
2015 01 01 07 59 999 99.0 99.0  1.09 13.33  7.02 284 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 08 29 999 99.0 99.0  1.06 12.50  6.74 303 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 08 59 999 99.0 99.0  1.03 13.33  7.00 297 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 09 29 999 99.0 99.0  0.97 13.33  6.85 296 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 01 09 59 999 99.0 99.0  0.97 13.33  6.80 272 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 01 10 29 999 99.0 99.0  0.96 13.33  6.82 284 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 01 10 59 999 99.0 99.0  1.02 12.50  7.26 275 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 11 29 999 99.0 99.0  1.06 12.50  7.34 291 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 11 59 999 99.0 99.0  1.08 12.50  7.36 284 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 01 12 29 999 99.0 99.0  1.10 12.50  7.14 282 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 01 12 59 999 99.0 99.0  1.03 13.33  6.81 294 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 01 13 29 999 99.0 99.0  1.08 12.50  7.38 291 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 01 13 59 999 99.0 99.0  1.09 12.50  7.19 290 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 01 14 29 999 99.0 99.0  1.11 12.50  7.40 301 9999.0 999.0  13.6 999.0 99.0 99.00
2015 01 01 14 59 999 99.0 99.0  1.22 11.76  7.32 290 9999.0 999.0  13.7 999.0 99.0 99.00
2015 01 01 15 29 999 99.0 99.0  1.09 12.50  6.81 306 9999.0 999.0  13.7 999.0 99.0 99.00
2015 01 01 15 59 999 99.0 99.0  1.25 11.11  6.99 290 9999.0 999.0  13.7 999.0 99.0 99.00
