NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: BUDD INLET, SOUTH OF GULL HARBOR 
State: WA 
Stationid: 9446807
Prediction Type: Harmonic
From: 20210101 01:21 - 20211231 22:30
Units: Feet and Centimeters
Time Zone: GMT
Datum: MTL
Interval Type: High/Low

Date 		Day	Time	Pred(Ft)	Pred(cm)	High/Low
2021/01/29	Fri	00:36	5.31		162			H
2021/01/29	Fri	07:50	-10.05		-306			L
2021/01/29	Fri	14:45	6.85		209			H
2021/01/29	Fri	20:32	-1.01		-31			L
2021/01/30	Sat	01:21	5.41		165			H
2021/01/30	Sat	08:28	-9.97		-304			L
2021/01/30	Sat	15:19	7.08		216			H
2021/01/30	Sat	21:13	-1.80		-55			L
2021/01/31	Sun	02:09	5.37		164			H
2021/01/31	Sun	09:07	-9.54		-291			L
2021/01/31	Sun	15:52	7.28		222			H
2021/01/31	Sun	21:56	-2.68		-82			L
2021/02/01	Mon	03:00	5.14		157			H
2021/02/01	Mon	09:46	-8.67		-264			L
2021/02/01	Mon	16:25	7.43		226			H
2021/02/01	Mon	22:42	-3.62		-110			L
2021/02/02	Tue	03:57	4.68		143			H
2021/02/02	Tue	10:26	-7.33		-223			L
2021/02/02	Tue	16:59	7.48		228			H
2021/02/02	Tue	23:33	-4.60		-140			L
2021/02/03	Wed	05:01	4.07		124			H
2021/02/03	Wed	11:09	-5.58		-170			L
2021/02/03	Wed	17:36	7.38		225			H
2021/02/04	Thu	00:28	-5.58		-170			L
2021/02/04	Thu	06:15	3.50		107			H
2021/02/04	Thu	12:00	-3.58		-109			L
2021/02/04	Thu	18:18	7.10		216			H
2021/02/05	Fri	01:29	-6.57		-200			L
2021/02/05	Fri	07:38	3.28		100			H
2021/02/05	Fri	13:05	-1.61		-49			L
2021/02/05	Fri	19:05	6.68		204			H
2021/02/06	Sat	02:31	-7.57		-231			L
2021/02/06	Sat	09:07	3.65		111			H
2021/02/06	Sat	14:28	-0.09		-3			L
2021/02/06	Sat	20:01	6.21		189			H
2021/02/07	Sun	03:33	-8.53		-260			L
2021/02/07	Sun	10:30	4.51		137			H
2021/02/07	Sun	15:54	0.60		18			L
2021/02/07	Sun	21:02	5.80		177			H
2021/02/08	Mon	04:31	-9.34		-285			L
2021/02/08	Mon	11:39	5.50		168			H
2021/02/08	Mon	17:09	0.52		16			L
2021/02/08	Mon	22:04	5.54		169			H
2021/02/09	Tue	05:25	-9.91		-302			L
2021/02/09	Tue	12:34	6.30		192			H
2021/02/09	Tue	18:11	-0.03		-1			L
2021/02/09	Tue	23:02	5.38		164			H
2021/02/10	Wed	06:15	-10.16		-310			L
2021/02/10	Wed	13:19	6.79		207			H
2021/02/10	Wed	19:03	-0.75		-23			L
2021/02/10	Wed	23:57	5.26		160			H
2021/02/11	Thu	07:01	-10.08		-307			L
2021/02/11	Thu	13:58	7.02		214			H
2021/02/11	Thu	19:50	-1.50		-46			L
