11	1	3	1995	1035	22.5	NaN	NaN	NaN	NaN	NaN	NaN	0.43	10.65	30.45	23.29	3.04	7.31
11	1	3	1995	1035	23	NaN	NaN	NaN	NaN	NaN	NaN	0.44	10.65	30.45	23.3	3.07	7.31
11	1	3	1995	1035	23.5	NaN	NaN	NaN	NaN	NaN	NaN	0.45	10.65	30.46	23.3	3.11	7.31
11	1	3	1995	1035	24	NaN	NaN	NaN	NaN	NaN	NaN	0.46	10.65	30.46	23.3	3.13	7.31
11	1	3	1995	1035	24.5	NaN	NaN	NaN	NaN	NaN	NaN	0.47	10.65	30.46	23.3	3.14	7.32
11	1	3	1995	1035	25	NaN	NaN	NaN	NaN	NaN	NaN	0.48	10.65	30.48	23.31	3.14	7.32
11	1	3	1995	1035	25.5	NaN	NaN	NaN	NaN	NaN	NaN	0.49	10.66	30.49	23.32	3.15	7.33
11	1	3	1995	1035	26	NaN	NaN	NaN	NaN	NaN	NaN	0.5	10.66	30.49	23.32	3.14	7.33
11	1	3	1995	1035	26.5	NaN	NaN	NaN	NaN	NaN	NaN	0.5	10.66	30.5	23.33	3.15	7.34
11	1	3	1995	1035	27	NaN	NaN	NaN	NaN	NaN	NaN	0.51	10.66	30.5	23.33	3.15	7.34
11	1	3	1995	1035	27.5	NaN	NaN	NaN	NaN	NaN	NaN	0.52	10.66	30.5	23.33	3.14	7.34
11	1	3	1995	1035	28	NaN	NaN	NaN	NaN	NaN	NaN	0.53	10.67	30.51	23.33	3.13	7.34
11	1	3	1995	1035	28.5	NaN	NaN	NaN	NaN	NaN	NaN	0.54	10.67	30.51	23.34	3.14	7.34
11	1	3	1995	1035	29	NaN	NaN	NaN	NaN	NaN	NaN	0.55	10.67	30.51	23.34	3.13	7.34
11	1	3	1995	1035	29.5	NaN	NaN	NaN	NaN	NaN	NaN	0.56	10.68	30.53	23.35	3.12	7.35
11	1	3	1995	1035	30	NaN	0.24	NaN	NaN	NaN	NaN	0.57	10.69	30.54	23.36	3.12	7.35
11	1	3	1995	1035	30.5	NaN	NaN	NaN	NaN	NaN	NaN	0.58	10.69	30.56	23.37	3.12	7.35
11	1	3	1995	1035	31	NaN	NaN	NaN	NaN	NaN	NaN	0.59	10.7	30.57	23.37	3.11	7.35
11	1	3	1995	1035	31.5	NaN	NaN	NaN	NaN	NaN	NaN	0.6	10.7	30.58	23.38	3.11	7.35
11	1	3	1995	1035	32	NaN	NaN	NaN	NaN	NaN	NaN	0.61	10.71	30.58	23.38	3.1	7.35
11	1	3	1995	1035	32.5	NaN	NaN	NaN	NaN	NaN	NaN	0.62	10.71	30.58	23.38	3.05	7.35
11	1	3	1995	1035	33	NaN	NaN	NaN	NaN	NaN	NaN	0.63	10.72	30.58	23.39	3	7.35
11	1	3	1995	1035	33.5	NaN	NaN	NaN	NaN	NaN	NaN	0.64	10.72	30.59	23.39	3.01	7.35
11	1	3	1995	1035	34	NaN	NaN	NaN	NaN	NaN	NaN	0.65	10.73	30.6	23.39	2.99	7.35
11	1	3	1995	1035	34.5	NaN	NaN	NaN	NaN	NaN	NaN	0.66	10.73	30.6	23.39	2.99	7.35
11	1	3	1995	1035	35	NaN	NaN	NaN	NaN	NaN	NaN	0.67	10.73	30.6	23.4	2.99	7.35
11	1	3	1995	1035	35.5	NaN	NaN	NaN	NaN	NaN	NaN	0.68	10.73	30.6	23.4	2.98	7.35
11	1	3	1995	1035	36	NaN	NaN	NaN	NaN	NaN	NaN	0.69	10.73	30.6	23.4	2.96	7.35
11	1	3	1995	1035	36.5	NaN	NaN	NaN	NaN	NaN	NaN	0.7	10.74	30.6	23.4	2.97	7.35
11	1	3	1995	1035	37	NaN	NaN	NaN	NaN	NaN	NaN	0.71	10.74	30.6	23.4	2.96	7.35
11	1	3	1995	1035	37.5	NaN	NaN	NaN	NaN	NaN	NaN	0.72	10.74	30.6	23.4	2.95	7.35
11	1	3	1995	1035	38	NaN	NaN	NaN	NaN	NaN	NaN	0.73	10.74	30.61	23.4	2.94	7.35
11	1	3	1995	1035	38.5	NaN	NaN	NaN	NaN	NaN	NaN	0.74	10.74	30.61	23.4	2.94	7.35
11	1	3	1995	1035	39	NaN	NaN	NaN	NaN	NaN	NaN	0.75	10.74	30.61	23.4	2.94	7.35
11	1	3	1995	1035	39.5	NaN	NaN	NaN	NaN	NaN	NaN	0.75	10.74	30.61	23.4	2.93	7.35
11	1	3	1995	1035	40	NaN	NaN	NaN	NaN	NaN	NaN	0.76	10.74	30.61	23.4	2.92	7.35
11	1	3	1995	1035	40.5	NaN	NaN	NaN	NaN	NaN	NaN	0.77	10.74	30.61	23.4	2.91	7.35
11	1	3	1995	1035	41	NaN	NaN	NaN	NaN	NaN	NaN	0.78	10.74	30.61	23.4	2.9	7.35
11	1	3	1995	1035	41.5	NaN	NaN	NaN	NaN	NaN	NaN	0.79	10.74	30.61	23.4	2.89	7.35
11	1	3	1995	1035	42	NaN	NaN	NaN	NaN	NaN	NaN	0.8	10.75	30.61	23.4	2.85	7.35
11	1	3	1995	1035	42.5	NaN	NaN	NaN	NaN	NaN	NaN	0.81	10.75	30.61	23.4	2.79	7.35
11	1	3	1995	1035	43	NaN	NaN	NaN	NaN	NaN	NaN	0.82	10.76	30.62	23.41	2.76	7.35
11	1	3	1995	1035	43.5	NaN	NaN	NaN	NaN	NaN	NaN	0.83	10.76	30.63	23.41	2.72	7.35
11	1	3	1995	1035	44	NaN	NaN	NaN	NaN	NaN	NaN	0.84	10.77	30.63	23.42	2.68	7.35
11	1	3	1995	1035	44.5	NaN	NaN	NaN	NaN	NaN	NaN	0.85	10.77	30.64	23.42	2.65	7.35
