"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Instrument_ID","Field_Collection_Type","Field_Collector","Time_Zone","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Comment","Matrix","Source","Depth_Value","Depth_Value_Units","Result_Parameter_Name","Result_Value","Result_Value_Units","Result_Data_Qualifier","Result_Method","Result_Method_Description","Result_Comment","Result_Data_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Record_Created_On","Continuous_Result_System_ID"
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","07/26/2006",18:50:25.2500000,7/26/2006 6:50:25 PM,"","Water","Salt/Marine Water",11,"m","Temperature, water","14.5771999359131","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0920388567478,-122.918214865058,,6/3/2025 8:01:03 PM,236971843
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","09/11/2006",18:42:13,9/11/2006 6:42:13 PM,"","Water","Salt/Marine Water",4,"m","Temperature, water","12.0746002197266","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,6/3/2025 8:01:03 PM,236977914
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","09/25/2006",21:50:33,9/25/2006 9:50:33 PM,"","Water","Salt/Marine Water",10,"m","Temperature, water","14.43869972229","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0920388567478,-122.918214865058,,6/3/2025 8:01:03 PM,236982987
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","08/08/2018",19:41:31,8/8/2018 7:41:31 PM,"","Water","Salt/Marine Water",0.5,"m","Temperature, water","14.2947","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",48.0833355941599,-122.763315078905,,6/14/2025 8:01:15 PM,239060523
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","08/13/2019",20:50:11.2200000,8/13/2019 8:50:11 PM,"","Water","Salt/Marine Water",12.5,"m","Temperature, water","12.0091","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",48.0833355941599,-122.763315078905,,6/15/2025 8:01:12 PM,239804045
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","10/12/2022",16:12:05.1633333,10/12/2022 4:12:05 PM,"","Water","Salt/Marine Water",10,"m","Temperature, water","14.4958","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",47.0920388567478,-122.918214865058,,7/1/2025 8:02:47 PM,241468145
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","07/03/2024",16:30:26.0266667,7/3/2024 4:30:26 PM,"","Water","Salt/Marine Water",5.5,"m","Temperature, water","13.9084","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",47.0920388567478,-122.918214865058,,7/1/2025 8:02:47 PM,242188035
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","04/04/2024",16:34:42.7533333,4/4/2024 4:34:42 PM,"","Water","Salt/Marine Water",6,"m","Temperature, water","10.2732","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",47.0920388567478,-122.918214865058,,7/1/2025 8:02:47 PM,242423739
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 19","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","06/19/2001",20:54:55,6/19/2001 8:54:55 PM,"","Water","Salt/Marine Water",16.5,"m","Temperature, water","10.2417001724243","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,6/4/2019 8:01:32 PM,143074315
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","QMH002","QMH002","QMH002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","12/28/2001",21:34:05,12/28/2001 9:34:05 PM,"","Water","Salt/Marine Water",1.5,"m","Temperature, water","8.45590019226074","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.3967055945131,-122.441714861224,,6/4/2019 8:01:32 PM,143087108
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","04/02/2013",16:50:18,4/2/2013 4:50:18 PM,"","Water","Salt/Marine Water",5.5,"m","Temperature, water","9.19769954681396","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0920388567478,-122.918214865058,,9/17/2025 8:01:22 PM,254082817
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","01/19/2016",17:42:16.0933333,1/19/2016 5:42:16 PM,"","Water","Salt/Marine Water",12,"m","Temperature, water","9.4578","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",47.0920388567478,-122.918214865058,,8/29/2025 8:01:08 PM,246849239
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","12/06/2017",20:17:28.6600000,12/6/2017 8:17:28 PM,"","Water","Salt/Marine Water",5.5,"m","Temperature, water","8.9249","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",48.0833355941599,-122.763315078905,,8/30/2025 8:01:09 PM,248233830
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","06/09/2017",21:25:56.5000000,6/9/2017 9:25:56 PM,"","Water","Salt/Marine Water",8.5,"m","Temperature, water","11.9705","deg C","","TEMP-THERMISTOR","Temperature by thermistor","","Final",47.0920388567478,-122.918214865058,,8/30/2025 8:01:09 PM,247793037
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","03/17/2010",20:58:13,3/17/2010 8:58:13 PM,"","Water","Salt/Marine Water",4,"m","Temperature, water","8.8446","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,11/12/2025 8:22:47 PM,259845986
