#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 22 22 999 99.0 99.0  3.28 10.53  7.65 322 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 22 52 999 99.0 99.0  3.55 11.11  8.03 318 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 23 22 999 99.0 99.0  3.37  9.88  7.64 318 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 23 52 999 99.0 99.0  3.31  9.88  7.74 324 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 00 22 999 99.0 99.0  3.41 11.76  7.82 314 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 00 52 999 99.0 99.0  3.19  9.09  7.32 322 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 01 22 999 99.0 99.0  3.37 11.76  7.36 311 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 01 52 999 99.0 99.0  3.36  9.88  7.66 322 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 02 22 999 99.0 99.0  3.33 11.11  7.70 314 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 02 52 999 99.0 99.0  3.36  9.88  7.79 320 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 03 22 999 99.0 99.0  3.09  9.88  7.68 320 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 03 52 999 99.0 99.0  2.99  9.09  7.99 325 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 04 22 999 99.0 99.0  2.80  9.09  7.79 325 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 04 52 999 99.0 99.0  2.76 10.53  7.67 321 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 05 22 999 99.0 99.0  2.82  9.09  8.03 322 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 05 52 999 99.0 99.0  2.58 10.53  7.99 321 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 06 22 999 99.0 99.0  2.63  9.88  8.16 315 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 06 52 999 99.0 99.0  2.75  9.88  8.31 317 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 07 22 999 99.0 99.0  2.56  9.09  8.20 314 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 07 52 999 99.0 99.0  2.69  9.88  8.39 313 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 08 22 999 99.0 99.0  2.80  9.88  8.29 313 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 08 52 999 99.0 99.0  2.50 16.67  8.00 298 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 09 22 999 99.0 99.0  2.59 16.67  8.23 304 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 09 52 999 99.0 99.0  2.60 16.67  8.52 307 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 10 22 999 99.0 99.0  2.56  9.88  8.46 307 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 10 52 999 99.0 99.0  2.55  9.88  8.07 306 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 11 22 999 99.0 99.0  2.52 16.67  7.86 307 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 11 52 999 99.0 99.0  2.67  9.88  8.21 321 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 12 22 999 99.0 99.0  2.49 16.67  8.08 307 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 02 12 52 999 99.0 99.0  2.79  9.88  8.17 313 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 02 13 22 999 99.0 99.0  2.68 16.67  8.47 294 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 02 13 52 999 99.0 99.0  2.58  9.88  7.70 314 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 02 14 22 999 99.0 99.0  2.85 16.67  8.21 306 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 14 52 999 99.0 99.0  2.77  9.09  8.27 317 9999.0 999.0  12.3 999.0 99.0 99.00
2017 01 02 15 22 999 99.0 99.0  2.71 10.53  8.54 322 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 15 52 999 99.0 99.0  2.69 10.53  8.60 318 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 16 22 999 99.0 99.0  3.06 10.53  9.15 320 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 16 52 999 99.0 99.0  2.93  9.09  9.15 318 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 17 22 999 99.0 99.0  3.05 10.53  9.73 321 9999.0 999.0  12.2 999.0 99.0 99.00
2017 01 02 17 52 999 99.0 99.0  2.79 15.38  9.22 317 9999.0 999.0  12.2 999.0 99.0 99.00
