#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 00 999 99.0 99.0  1.14  9.88  6.68 297 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 00 30 999 99.0 99.0  1.15 10.53  7.22 289 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 01 00 999 99.0 99.0  1.09 10.53  7.05 294 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 01 30 999 99.0 99.0  1.13 10.53  7.32 290 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 02 00 999 99.0 99.0  1.11 11.11  7.35 300 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 02 30 999 99.0 99.0  1.00  9.88  7.46 294 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 03 30 999 99.0 99.0  1.00 11.11  7.78 298 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 04 00 999 99.0 99.0  1.03  9.09  7.87 297 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 04 30 999 99.0 99.0  0.90  9.88  7.92 301 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 05 00 999 99.0 99.0  0.92 11.11  7.79 296 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 05 30 999 99.0 99.0  0.93 11.11  7.77 290 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 06 00 999 99.0 99.0  0.84 10.53  7.59 289 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 06 30 999 99.0 99.0  0.91 10.53  8.32 283 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 07 00 999 99.0 99.0  0.79 13.33  7.84 224 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 07 30 999 99.0 99.0  0.92 11.11  8.44 293 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 08 00 999 99.0 99.0  0.84 10.53  8.20 290 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 08 30 999 99.0 99.0  0.82 13.33  8.27 227 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 09 00 999 99.0 99.0  0.80 11.11  8.18 284 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 09 30 999 99.0 99.0  0.82 13.33  8.09 224 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 10 00 999 99.0 99.0  0.83 11.11  8.05 297 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 10 30 999 99.0 99.0  0.94 10.53  8.26 301 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 11 00 999 99.0 99.0  0.87 13.33  7.77 223 9999.0 999.0  13.9 999.0 99.0 99.00
2018 01 01 11 30 999 99.0 99.0  0.87 12.50  7.81 211 9999.0 999.0  13.9 999.0 99.0 99.00
2018 01 01 12 00 999 99.0 99.0  0.90 10.53  8.08 301 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 12 30 999 99.0 99.0  0.91 16.67  8.55 277 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 13 00 999 99.0 99.0  0.89 16.67  8.08 273 9999.0 999.0  14.0 999.0 99.0 99.00
2018 01 01 13 30 999 99.0 99.0  0.83 16.67  7.93 286 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 14 00 999 99.0 99.0  0.88  9.88  7.75 307 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 14 30 999 99.0 99.0  0.85  9.88  7.52 283 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 15 00 999 99.0 99.0  0.91 10.53  7.75 300 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 15 30 999 99.0 99.0  0.82  9.88  6.56 310 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 16 00 999 99.0 99.0  0.91 16.67  6.58 266 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 16 30 999 99.0 99.0  0.97 16.67  6.34 275 9999.0 999.0  14.1 999.0 99.0 99.00
2018 01 01 17 00 999 99.0 99.0  1.02 16.67  5.76 277 9999.0 999.0  14.1 999.0 99.0 99.00
