#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 11 08 04 40 999 99.0 99.0  1.73 15.38  5.41 183 9999.0 999.0  13.7 999.0 99.0 99.00
2008 11 08 05 10 999 99.0 99.0  1.64  5.88  5.35 304 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 05 40 999 99.0 99.0  1.64  9.88  5.46 305 9999.0 999.0  13.7 999.0 99.0 99.00
2008 11 08 06 10 999 99.0 99.0  1.63 15.38  5.53 184 9999.0 999.0  13.7 999.0 99.0 99.00
2008 11 08 06 40 999 99.0 99.0  1.61  5.88  5.55 309 9999.0 999.0  13.7 999.0 99.0 99.00
2008 11 08 07 10 999 99.0 99.0  1.65  5.88  5.58 304 9999.0 999.0  13.7 999.0 99.0 99.00
2008 11 08 07 40 999 99.0 99.0  1.73  9.88  5.61 299 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 08 10 999 99.0 99.0  1.64  9.88  5.54 312 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 08 40 999 99.0 99.0  1.75  9.09  5.81 312 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 09 10 999 99.0 99.0  1.75  9.09  5.86 297 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 09 40 999 99.0 99.0  1.84  9.88  6.08 304 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 10 10 999 99.0 99.0  1.72 10.53  6.00 307 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 10 40 999 99.0 99.0  1.85  9.88  6.38 314 9999.0 999.0  13.5 999.0 99.0 99.00
2008 11 08 11 10 999 99.0 99.0  1.73 10.53  6.12 304 9999.0 999.0  13.5 999.0 99.0 99.00
2008 11 08 11 40 999 99.0 99.0  1.90  9.88  6.48 315 9999.0 999.0  13.4 999.0 99.0 99.00
2008 11 08 12 10 999 99.0 99.0  1.97  9.88  6.61 299 9999.0 999.0  13.4 999.0 99.0 99.00
2008 11 08 12 40 999 99.0 99.0  1.80 10.53  5.98 309 9999.0 999.0  13.4 999.0 99.0 99.00
2008 11 08 13 10 999 99.0 99.0  1.79 16.67  5.98 292 9999.0 999.0  13.4 999.0 99.0 99.00
2008 11 08 13 40 999 99.0 99.0  1.93  9.88  6.17 304 9999.0 999.0  13.3 999.0 99.0 99.00
2008 11 08 14 10 999 99.0 99.0  1.91 16.67  6.11 273 9999.0 999.0  13.3 999.0 99.0 99.00
2008 11 08 14 40 999 99.0 99.0  1.90 16.67  6.14 277 9999.0 999.0  13.2 999.0 99.0 99.00
2008 11 08 15 10 999 99.0 99.0  1.76 16.67  5.95 276 9999.0 999.0  13.3 999.0 99.0 99.00
2008 11 08 15 40 999 99.0 99.0  1.79 16.67  6.27 285 9999.0 999.0  13.2 999.0 99.0 99.00
2008 11 08 16 10 999 99.0 99.0  1.85 16.67  6.32 278 9999.0 999.0  13.3 999.0 99.0 99.00
2008 11 08 16 40 999 99.0 99.0  1.74  9.88  5.81 298 9999.0 999.0  13.4 999.0 99.0 99.00
2008 11 08 17 10 999 99.0 99.0  1.92  9.09  6.46 290 9999.0 999.0  13.4 999.0 99.0 99.00
2008 11 08 17 40 999 99.0 99.0  1.87 16.67  6.42 271 9999.0 999.0  13.5 999.0 99.0 99.00
2008 11 08 18 10 999 99.0 99.0  1.94 16.67  6.65 280 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 18 40 999 99.0 99.0  1.95  9.09  6.12 292 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 19 10 999 99.0 99.0  1.97 16.67  6.71 274 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 19 40 999 99.0 99.0  1.87 10.53  6.26 299 9999.0 999.0  13.7 999.0 99.0 99.00
2008 11 08 20 10 999 99.0 99.0  1.89  9.88  6.58 295 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 20 40 999 99.0 99.0  1.82 16.67  7.37 283 9999.0 999.0  13.6 999.0 99.0 99.00
2008 11 08 21 10 999 99.0 99.0  1.65 16.67  7.16 294 9999.0 999.0  13.8 999.0 99.0 99.00
2008 11 08 21 40 999 99.0 99.0  1.55 15.38  7.11 260 9999.0 999.0  14.2 999.0 99.0 99.00
2008 11 08 22 10 999 99.0 99.0  1.60 15.38  7.78 281 9999.0 999.0  14.4 999.0 99.0 99.00
2008 11 08 22 40 999 99.0 99.0  1.51 15.38  7.55 297 9999.0 999.0  14.5 999.0 99.0 99.00
2008 11 08 23 10 999 99.0 99.0  1.58 15.38  7.49 283 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 08 23 40 999 99.0 99.0  1.47  9.88  7.26 299 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 00 10 999 99.0 99.0  1.44  9.88  7.69 285 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 00 40 999 99.0 99.0  1.42 15.38  7.82 297 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 01 10 999 99.0 99.0  1.43 15.38  7.91 274 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 01 40 999 99.0 99.0  1.47 15.38  7.41 292 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 02 10 999 99.0 99.0  1.53 15.38  7.36 267 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 02 40 999 99.0 99.0  1.43 15.38  6.59 284 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 03 10 999 99.0 99.0  1.51 15.38  6.83 283 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 03 40 999 99.0 99.0  1.59 15.38  6.99 283 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 04 10 999 99.0 99.0  1.55  9.88  7.31 292 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 04 40 999 99.0 99.0  1.55 15.38  7.02 281 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 05 10 999 99.0 99.0  1.63 14.29  7.20 253 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 05 40 999 99.0 99.0  1.70 15.38  6.64 277 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 06 10 999 99.0 99.0  1.88 15.38  6.74 285 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 06 40 999 99.0 99.0  2.11  9.09  6.54 294 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 07 10 999 99.0 99.0  2.02 15.38  6.49 273 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 07 40 999 99.0 99.0  2.22 14.29  6.93 280 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 08 10 999 99.0 99.0  2.53  9.88  7.02 290 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 08 40 999 99.0 99.0  2.37  9.09  6.82 294 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 09 10 999 99.0 99.0  2.53 16.67  6.98 291 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 09 40 999 99.0 99.0  2.52 15.38  7.18 277 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 10 10 999 99.0 99.0  2.73 15.38  7.00 290 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 10 40 999 99.0 99.0  2.74 15.38  6.89 292 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 11 10 999 99.0 99.0  2.95 15.38  7.25 287 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 11 40 999 99.0 99.0  3.02 15.38  7.34 294 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 12 10 999 99.0 99.0  3.01 14.29  7.63 295 9999.0 999.0  14.7 999.0 99.0 99.00
2008 11 09 12 40 999 99.0 99.0  2.98 15.38  7.08 299 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 13 10 999 99.0 99.0  3.01 14.29  7.12 295 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 13 40 999 99.0 99.0  3.27  7.69  7.28 294 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 14 10 999 99.0 99.0  3.16 14.29  7.13 287 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 14 40 999 99.0 99.0  3.39  8.33  7.37 288 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 15 10 999 99.0 99.0  3.39 14.29  7.60 285 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 15 40 999 99.0 99.0  3.16 15.38  7.26 280 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 16 10 999 99.0 99.0  3.53 14.29  7.95 280 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 16 40 999 99.0 99.0  3.73 15.38  8.08 273 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 17 10 999 99.0 99.0  3.43 14.29  7.73 271 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 17 40 999 99.0 99.0  3.98 14.29  8.16 280 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 18 10 999 99.0 99.0  3.85 10.53  8.04 292 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 18 40 999 99.0 99.0  4.06 13.33  8.26 285 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 19 10 999 99.0 99.0  4.05 11.11  8.24 294 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 19 40 999 99.0 99.0  4.24 13.33  8.35 292 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 20 10 999 99.0 99.0  4.22  9.09  8.06 294 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 20 40 999 99.0 99.0  3.91  9.88  7.75 281 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 21 10 999 99.0 99.0  4.23  9.88  8.05 299 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 21 40 999 99.0 99.0  4.15 14.29  8.11 295 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 22 10 999 99.0 99.0  4.27  9.09  8.05 305 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 22 40 999 99.0 99.0  4.21 11.11  7.99 297 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 23 10 999 99.0 99.0  4.32 11.76  8.10 301 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 09 23 40 999 99.0 99.0  4.03 10.53  7.87 297 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 10 00 10 999 99.0 99.0  4.36 13.33  8.17 288 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 10 00 40 999 99.0 99.0  4.21 10.53  7.97 297 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 10 01 10 999 99.0 99.0  4.28 12.50  8.26 298 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 10 01 40 999 99.0 99.0  4.20 13.33  8.37 294 9999.0 999.0  14.5 999.0 99.0 99.00
2008 11 10 02 10 999 99.0 99.0  4.36 12.50  8.40 288 9999.0 999.0  14.6 999.0 99.0 99.00
2008 11 10 02 40 999 99.0 99.0  4.70 10.53  8.61 299 9999.0 999.0  14.5 999.0 99.0 99.00
2008 11 10 03 10 999 99.0 99.0  4.48 11.76  8.63 295 9999.0 999.0  14.5 999.0 99.0 99.00
2008 11 10 03 40 999 99.0 99.0  4.76 10.53  8.67 297 9999.0 999.0  14.5 999.0 99.0 99.00
