#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 22 999 99.0 99.0  1.78 12.50  8.41 294 9999.0 999.0  13.8 999.0 99.0 99.00
2016 01 01 00 52 999 99.0 99.0  1.63 12.50  7.98 291 9999.0 999.0  13.8 999.0 99.0 99.00
2016 01 01 01 22 999 99.0 99.0  1.60 10.53  7.67 307 9999.0 999.0  13.8 999.0 99.0 99.00
2016 01 01 02 22 999 99.0 99.0  1.60 11.11  7.81 301 9999.0 999.0  13.7 999.0 99.0 99.00
2016 01 01 02 52 999 99.0 99.0  1.55 15.38  7.43 304 9999.0 999.0  13.6 999.0 99.0 99.00
2016 01 01 03 22 999 99.0 99.0  1.51 15.38  7.16 303 9999.0 999.0  13.6 999.0 99.0 99.00
2016 01 01 03 52 999 99.0 99.0  1.53 14.29  7.21 286 9999.0 999.0  13.3 999.0 99.0 99.00
2016 01 01 04 22 999 99.0 99.0  1.56 15.38  6.86 297 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 04 52 999 99.0 99.0  1.67 13.33  7.71 273 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 01 05 22 999 99.0 99.0  1.56 14.29  6.96 283 9999.0 999.0  12.8 999.0 99.0 99.00
2016 01 01 06 22 999 99.0 99.0  1.63 13.33  7.25 280 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 01 06 52 999 99.0 99.0  1.55 13.33  7.63 282 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 01 07 22 999 99.0 99.0  1.64 14.29  8.34 296 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 07 52 999 99.0 99.0  1.69 14.29  8.68 284 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 08 22 999 99.0 99.0  1.54 14.29  8.80 290 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 08 52 999 99.0 99.0  1.47 14.29  8.54 289 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 01 09 22 999 99.0 99.0  1.54 14.29  8.71 296 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 01 10 22 999 99.0 99.0  1.45 13.33  8.45 286 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 10 52 999 99.0 99.0  1.56 14.29  8.60 293 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 11 22 999 99.0 99.0  1.43 14.29  8.65 300 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 11 52 999 99.0 99.0  1.48 14.29  8.89 300 9999.0 999.0  13.2 999.0 99.0 99.00
2016 01 01 12 22 999 99.0 99.0  1.40 13.33  8.44 291 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 12 52 999 99.0 99.0  1.52 12.50  9.18 279 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 14 22 999 99.0 99.0  1.54 13.33  9.08 283 9999.0 999.0  13.6 999.0 99.0 99.00
2016 01 01 14 52 999 99.0 99.0  1.48 13.33  9.13 291 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 15 22 999 99.0 99.0  1.55 18.18  9.08 298 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 15 52 999 99.0 99.0  1.63 18.18  9.10 307 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 16 22 999 99.0 99.0  1.67 18.18  9.22 307 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 16 52 999 99.0 99.0  1.60 18.18  9.01 296 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 17 22 999 99.0 99.0  1.76 18.18  9.60 303 9999.0 999.0  13.5 999.0 99.0 99.00
2016 01 01 18 22 999 99.0 99.0  1.99 16.67 11.63 304 9999.0 999.0  13.4 999.0 99.0 99.00
2016 01 01 18 52 999 99.0 99.0  1.95 18.18 12.15 304 9999.0 999.0  13.3 999.0 99.0 99.00
2016 01 01 19 22 999 99.0 99.0  1.85 16.67 11.93 303 9999.0 999.0  13.3 999.0 99.0 99.00
2016 01 01 19 52 999 99.0 99.0  2.03 16.67 12.56 307 9999.0 999.0  13.3 999.0 99.0 99.00
2016 01 01 20 22 999 99.0 99.0  1.75 18.18 11.66 303 9999.0 999.0  13.2 999.0 99.0 99.00
2016 01 01 20 52 999 99.0 99.0  2.11 16.67 12.23 310 9999.0 999.0  13.3 999.0 99.0 99.00
2016 01 01 21 22 999 99.0 99.0  2.01 16.67 12.44 307 9999.0 999.0  13.2 999.0 99.0 99.00
2016 01 01 22 22 999 99.0 99.0  1.81 16.67 11.86 310 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 22 52 999 99.0 99.0  1.71 16.67 11.61 307 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 23 22 999 99.0 99.0  2.16 16.67 13.18 304 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 01 23 52 999 99.0 99.0  2.15 16.67 13.28 304 9999.0 999.0  13.1 999.0 99.0 99.00
2016 01 02 00 52 999 99.0 99.0  1.99 16.67 13.15 303 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 01 22 999 99.0 99.0  2.13 16.67 13.16 300 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 02 22 999 99.0 99.0  2.09 16.67 13.23 293 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 02 52 999 99.0 99.0  2.30 15.38 13.19 306 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 03 22 999 99.0 99.0  2.32 16.67 13.50 300 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 03 52 999 99.0 99.0  2.14 16.67 12.94 297 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 04 52 999 99.0 99.0  2.11 16.67 13.12 297 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 05 22 999 99.0 99.0  1.95 14.29 12.42 303 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 06 52 999 99.0 99.0  2.10 16.67 13.17 296 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 07 22 999 99.0 99.0  2.06 15.38 12.62 301 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 07 52 999 99.0 99.0  2.31 14.29 12.90 304 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 08 52 999 99.0 99.0  1.99 15.38 12.66 311 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 09 22 999 99.0 99.0  1.58 13.33 11.83 291 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 10 22 999 99.0 99.0  1.84 13.33 12.47 291 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 10 52 999 99.0 99.0  1.82 15.38 12.45 306 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 11 22 999 99.0 99.0  1.69 15.38 12.04 301 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 11 52 999 99.0 99.0  1.90 15.38 12.02 301 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 12 22 999 99.0 99.0  1.72 15.38 11.63 301 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 12 52 999 99.0 99.0  1.50 14.29 11.15 300 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 13 22 999 99.0 99.0  1.71 14.29 11.48 297 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 14 22 999 99.0 99.0  2.02 14.29 12.65 296 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 14 52 999 99.0 99.0  1.74 13.33 11.64 303 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 15 22 999 99.0 99.0  2.02 14.29 12.06 290 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 15 52 999 99.0 99.0  1.86 14.29 11.28 303 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 16 22 999 99.0 99.0  1.74 14.29 11.00 314 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 16 52 999 99.0 99.0  2.01 14.29 11.73 293 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 17 22 999 99.0 99.0  1.71 15.38 11.21 286 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 18 22 999 99.0 99.0  1.68 14.29 10.54 300 9999.0 999.0  13.2 999.0 99.0 99.00
2016 01 02 18 52 999 99.0 99.0  1.64 14.29  9.16 298 9999.0 999.0  13.3 999.0 99.0 99.00
2016 01 02 19 22 999 99.0 99.0  1.50 14.29  8.55 303 9999.0 999.0  13.3 999.0 99.0 99.00
2016 01 02 19 52 999 99.0 99.0  1.46 14.29  8.41 298 9999.0 999.0  13.4 999.0 99.0 99.00
2016 01 02 20 22 999 99.0 99.0  1.54 12.50  7.92 298 9999.0 999.0  13.4 999.0 99.0 99.00
