#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 06 02 21 04 300  6.7 99.0 99.00 99.00 99.00 999 1015.0  12.8  12.4 999.0 99.0 99.00
2018 06 02 22 04 300  7.7 99.0 99.00 99.00 99.00 999 1014.2  13.0  12.4 999.0 99.0 99.00
2018 06 02 23 04 290  7.7 99.0 99.00 99.00 99.00 999 1013.7  13.1  12.4 999.0 99.0 99.00
2018 06 03 00 04 290  9.3 99.0 99.00 99.00 99.00 999 1013.4  13.2  12.3 999.0 99.0 99.00
2018 06 03 01 04 300  6.7 99.0 99.00 99.00 99.00 999 1013.3  13.2  12.2 999.0 99.0 99.00
2018 06 03 02 04 290  6.2 99.0 99.00 99.00 99.00 999 1013.3  13.0  12.2 999.0 99.0 99.00
2018 06 03 03 04 300  7.2 99.0 99.00 99.00 99.00 999 1012.8  12.6  12.1 999.0 99.0 99.00
2018 06 03 04 04 320  6.7 99.0 99.00 99.00 99.00 999 1013.0  12.4  12.0 999.0 99.0 99.00
2018 06 03 05 04 310  4.6 99.0 99.00 99.00 99.00 999 1013.3  12.2  11.9 999.0 99.0 99.00
2018 06 03 06 04 300  5.1 99.0 99.00 99.00 99.00 999 1013.3  12.2  11.9 999.0 99.0 99.00
2018 06 03 07 04 290  5.1 99.0 99.00 99.00 99.00 999 1012.9  12.2  11.8 999.0 99.0 99.00
2018 06 03 08 04 330  3.1 99.0 99.00 99.00 99.00 999 1012.7  12.3  11.7 999.0 99.0 99.00
2018 06 03 09 04 310  4.6 99.0 99.00 99.00 99.00 999 1012.7  12.1  11.7 999.0 99.0 99.00
2018 06 03 10 04 320  3.1 99.0 99.00 99.00 99.00 999 1012.7  12.0  11.7 999.0 99.0 99.00
2018 06 03 11 04 300  2.6 99.0 99.00 99.00 99.00 999 1012.7  12.0  11.7 999.0 99.0 99.00
2018 06 03 12 04 300  3.1 99.0 99.00 99.00 99.00 999 1012.6  11.9  11.7 999.0 99.0 99.00
2018 06 03 13 04  30  2.1 99.0 99.00 99.00 99.00 999 1012.4  11.5  11.7 999.0 99.0 99.00
2018 06 03 14 04 340  1.5 99.0 99.00 99.00 99.00 999 1013.2  11.1  11.7 999.0 99.0 99.00
2018 06 03 15 04 280  1.5 99.0 99.00 99.00 99.00 999 1013.5  10.8  11.8 999.0 99.0 99.00
2018 06 03 16 04 300  3.1 99.0 99.00 99.00 99.00 999 1014.4  11.3  11.9 999.0 99.0 99.00
2018 06 03 17 04 280  3.1 99.0 99.00 99.00 99.00 999 1013.6  12.2  12.1 999.0 99.0 99.00
2018 06 03 18 04 280  4.6 99.0 99.00 99.00 99.00 999 1013.8  12.7  12.3 999.0 99.0 99.00
2018 06 03 19 04 270  5.1 99.0 99.00 99.00 99.00 999 1013.9  12.8  12.3 999.0 99.0 99.00
