#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 02 01 00 15 300  6.7 99.0 99.00 99.00 99.00 999 1015.6  13.6  13.3 999.0 99.0 99.00
2018 02 01 01 15 310  6.2 99.0 99.00 99.00 99.00 999 1015.5  13.5  13.3 999.0 99.0 99.00
2018 02 01 02 15 350  4.6 99.0 99.00 99.00 99.00 999 1016.0  13.7  13.2 999.0 99.0 99.00
2018 02 01 03 15 330  2.1 99.0 99.00 99.00 99.00 999 1016.8  13.5  13.2 999.0 99.0 99.00
2018 02 01 04 15 310  1.0 99.0 99.00 99.00 99.00 999 1016.8  13.5  13.2 999.0 99.0 99.00
2018 02 01 05 15 320  2.6 99.0 99.00 99.00 99.00 999 1017.1  13.3  13.2 999.0 99.0 99.00
2018 02 01 06 15 330  2.1 99.0 99.00 99.00 99.00 999 1017.4  13.3  13.2 999.0 99.0 99.00
2018 02 01 07 15 360  3.1 99.0 99.00 99.00 99.00 999 1017.3  13.2  13.1 999.0 99.0 99.00
2018 02 01 08 15  10  3.1 99.0 99.00 99.00 99.00 999 1017.1  13.4  13.1 999.0 99.0 99.00
2018 02 01 10 15  40  4.1 99.0 99.00 99.00 99.00 999 1017.2  13.4  13.1 999.0 99.0 99.00
2018 02 01 11 15  20  4.1 99.0 99.00 99.00 99.00 999 1017.2  13.5  13.1 999.0 99.0 99.00
2018 02 01 12 15  10  3.6 99.0 99.00 99.00 99.00 999 1017.2  13.4  13.1 999.0 99.0 99.00
2018 02 01 13 25 350  3.1 99.0 99.00 99.00 99.00 999 1017.5  13.2  13.1 999.0 99.0 99.00
2018 02 01 14 15  50  4.6 99.0 99.00 99.00 99.00 999 1017.6  13.2  13.1 999.0 99.0 99.00
2018 02 01 15 15  60  5.1 99.0 99.00 99.00 99.00 999 1017.8  13.4  13.1 999.0 99.0 99.00
2018 02 01 16 15  50  4.6 99.0 99.00 99.00 99.00 999 1018.1  12.9  13.0 999.0 99.0 99.00
2018 02 01 17 15  40  4.1 99.0 99.00 99.00 99.00 999 1018.7  12.8  13.0 999.0 99.0 99.00
2018 02 01 18 05  20  3.6 99.0 99.00 99.00 99.00 999 1019.0  13.0  13.1 999.0 99.0 99.00
2018 02 01 19 15  20  2.1 99.0 99.00 99.00 99.00 999 1019.2  13.7  13.1 999.0 99.0 99.00
2018 02 01 20 15 320  2.6 99.0 99.00 99.00 99.00 999 1018.7  13.6  13.3 999.0 99.0 99.00
2018 02 01 21 05 300  2.1 99.0 99.00 99.00 99.00 999 1018.2  14.8  13.4 999.0 99.0 99.00
2018 02 01 21 55 290  1.0 99.0 99.00 99.00 99.00 999 1017.8  14.5  13.3 999.0 99.0 99.00
2018 02 01 23 15 300  3.1 99.0 99.00 99.00 99.00 999 1017.4  14.8  14.0 999.0 99.0 99.00
2018 02 02 00 15 300  2.6 99.0 99.00 99.00 99.00 999 1017.3  15.0  13.7 999.0 99.0 99.00
2018 02 02 01 05 320  2.6 99.0 99.00 99.00 99.00 999 1017.6  14.8  13.7 999.0 99.0 99.00
2018 02 02 02 15 300  3.6 99.0 99.00 99.00 99.00 999 1018.0  14.6  13.6 999.0 99.0 99.00
2018 02 02 03 15 340  1.5 99.0 99.00 99.00 99.00 999 1018.8  15.0  13.5 999.0 99.0 99.00
2018 02 02 04 15   0  0.0 99.0 99.00 99.00 99.00 999 1019.2  14.6  13.5 999.0 99.0 99.00
2018 02 02 05 15 310  1.5 99.0 99.00 99.00 99.00 999 1019.8  15.1  13.5 999.0 99.0 99.00
2018 02 02 06 15 300  2.6 99.0 99.00 99.00 99.00 999 1020.1  14.3  13.4 999.0 99.0 99.00
2018 02 02 07 15 330  1.0 99.0 99.00 99.00 99.00 999 1019.9  14.0  13.4 999.0 99.0 99.00
2018 02 02 08 15  80  1.0 99.0 99.00 99.00 99.00 999 1019.8  13.9  13.3 999.0 99.0 99.00
2018 02 02 09 15 360  2.1 99.0 99.00 99.00 99.00 999 1019.8  14.1  13.3 999.0 99.0 99.00
2018 02 02 11 15 360  3.1 99.0 99.00 99.00 99.00 999 1019.8  13.8  13.2 999.0 99.0 99.00
2018 02 02 12 15  50  3.6 99.0 99.00 99.00 99.00 999 1019.5  13.7  13.2 999.0 99.0 99.00
2018 02 02 13 15  40  4.1 99.0 99.00 99.00 99.00 999 1019.6  13.4  13.2 999.0 99.0 99.00
2018 02 02 14 15  40  4.1 99.0 99.00 99.00 99.00 999 1020.0  13.0  13.1 999.0 99.0 99.00
2018 02 02 15 15  30  4.1 99.0 99.00 99.00 99.00 999 1020.4  13.0  13.0 999.0 99.0 99.00
2018 02 02 16 15  30  5.1 99.0 99.00 99.00 99.00 999 1020.6  12.6  13.0 999.0 99.0 99.00
2018 02 02 17 05  40  5.7 99.0 99.00 99.00 99.00 999 1020.8  12.5  13.0 999.0 99.0 99.00
2018 02 02 19 15 360  2.6 99.0 99.00 99.00 99.00 999 1021.1  13.9  13.1 999.0 99.0 99.00
2018 02 02 20 15 350  1.5 99.0 99.00 99.00 99.00 999 1020.1  14.2  12.9 999.0 99.0 99.00
2018 02 02 21 15 340  2.6 99.0 99.00 99.00 99.00 999 1019.5  14.4  13.4 999.0 99.0 99.00
2018 02 02 22 15 310  2.6 99.0 99.00 99.00 99.00 999 1018.7  14.4  13.2 999.0 99.0 99.00
2018 02 02 23 15 330  2.6 99.0 99.00 99.00 99.00 999 1018.3  14.5  13.6 999.0 99.0 99.00
2018 02 03 00 05 320  4.1 99.0 99.00 99.00 99.00 999 1018.4  14.8  13.4 999.0 99.0 99.00
2018 02 03 01 15 320  4.6 99.0 99.00 99.00 99.00 999 1018.7  14.9  13.4 999.0 99.0 99.00
2018 02 03 02 15 320  4.1 99.0 99.00 99.00 99.00 999 1018.9  14.1  13.3 999.0 99.0 99.00
2018 02 03 03 15 320  4.1 99.0 99.00 99.00 99.00 999 1019.3  14.0  13.2 999.0 99.0 99.00
2018 02 03 04 15 310  2.6 99.0 99.00 99.00 99.00 999 1019.6  14.1  13.1 999.0 99.0 99.00
2018 02 03 05 15  70  1.0 99.0 99.00 99.00 99.00 999 1019.6  13.8  13.1 999.0 99.0 99.00
2018 02 03 06 15 330  3.1 99.0 99.00 99.00 99.00 999 1019.6  14.0  13.0 999.0 99.0 99.00
2018 02 03 07 15  60  2.1 99.0 99.00 99.00 99.00 999 1019.5  14.7  13.1 999.0 99.0 99.00
2018 02 03 08 15  10  3.6 99.0 99.00 99.00 99.00 999 1019.6  14.3  13.0 999.0 99.0 99.00
2018 02 03 09 15  20  2.6 99.0 99.00 99.00 99.00 999 1019.4  13.8  13.0 999.0 99.0 99.00
2018 02 03 10 15  50  4.1 99.0 99.00 99.00 99.00 999 1019.4  13.8  13.0 999.0 99.0 99.00
2018 02 03 11 15  50  5.1 99.0 99.00 99.00 99.00 999 1019.3  13.8  13.0 999.0 99.0 99.00
2018 02 03 12 15  60  7.2 99.0 99.00 99.00 99.00 999 1019.0  13.9  13.0 999.0 99.0 99.00
2018 02 03 13 15  50  5.1 99.0 99.00 99.00 99.00 999 1019.8  13.6  13.0 999.0 99.0 99.00
2018 02 03 14 15  30  5.7 99.0 99.00 99.00 99.00 999 1019.9  13.7  13.0 999.0 99.0 99.00
2018 02 03 15 15  30  6.2 99.0 99.00 99.00 99.00 999 1020.0  13.3  12.9 999.0 99.0 99.00
2018 02 03 16 15  30  6.2 99.0 99.00 99.00 99.00 999 1020.5  13.7  12.9 999.0 99.0 99.00
2018 02 03 17 15  10  4.6 99.0 99.00 99.00 99.00 999 1020.8  13.7  12.9 999.0 99.0 99.00
