#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 05 01 00 05 290  8.8 99.0 99.00 99.00 99.00 999 1015.9  11.8  11.8 999.0 99.0 99.00
2018 05 01 01 05 300  7.7 99.0 99.00 99.00 99.00 999 1015.3  11.7  11.7 999.0 99.0 99.00
2018 05 01 02 05 300 10.8 99.0 99.00 99.00 99.00 999 1014.5  11.6  11.6 999.0 99.0 99.00
2018 05 01 03 05 310  9.3 99.0 99.00 99.00 99.00 999 1014.3  11.4  11.5 999.0 99.0 99.00
2018 05 01 04 05 310  9.8 99.0 99.00 99.00 99.00 999 1014.3  11.3  11.5 999.0 99.0 99.00
2018 05 01 05 05 310 10.3 99.0 99.00 99.00 99.00 999 1013.9  11.2  11.4 999.0 99.0 99.00
2018 05 01 06 05 310  9.8 99.0 99.00 99.00 99.00 999 1013.8  11.2  11.4 999.0 99.0 99.00
2018 05 01 07 05 310  8.2 99.0 99.00 99.00 99.00 999 1013.6  11.2  11.3 999.0 99.0 99.00
2018 05 01 08 05 300  6.2 99.0 99.00 99.00 99.00 999 1013.2  11.1  11.4 999.0 99.0 99.00
2018 05 01 09 05 300  4.6 99.0 99.00 99.00 99.00 999 1013.1  11.1  11.4 999.0 99.0 99.00
2018 05 01 10 05 290  5.1 99.0 99.00 99.00 99.00 999 1012.6  11.2  11.4 999.0 99.0 99.00
2018 05 01 11 05 290  4.1 99.0 99.00 99.00 99.00 999 1012.5  11.2  11.4 999.0 99.0 99.00
2018 05 01 12 05 310  3.1 99.0 99.00 99.00 99.00 999 1012.5  10.9  11.4 999.0 99.0 99.00
2018 05 01 13 05 340  3.6 99.0 99.00 99.00 99.00 999 1012.5  10.6  11.4 999.0 99.0 99.00
2018 05 01 14 05 330  2.1 99.0 99.00 99.00 99.00 999 1012.7  10.5  11.3 999.0 99.0 99.00
2018 05 01 15 05 300  0.5 99.0 99.00 99.00 99.00 999 1012.6  10.5  11.3 999.0 99.0 99.00
2018 05 01 16 05  60  0.5 99.0 99.00 99.00 99.00 999 1013.3  10.7  11.3 999.0 99.0 99.00
2018 05 01 17 05 270  0.5 99.0 99.00 99.00 99.00 999 1013.3  10.8  11.3 999.0 99.0 99.00
2018 05 01 18 05 240  2.1 99.0 99.00 99.00 99.00 999 1013.2  11.0  11.5 999.0 99.0 99.00
2018 05 01 19 05 300  2.1 99.0 99.00 99.00 99.00 999 1013.1  11.3  11.5 999.0 99.0 99.00
2018 05 01 20 05 300  6.2 99.0 99.00 99.00 99.00 999 1012.7  11.2  11.6 999.0 99.0 99.00
2018 05 01 21 05 290  7.2 99.0 99.00 99.00 99.00 999 1012.5  11.4  11.7 999.0 99.0 99.00
2018 05 01 22 06 280  7.2 99.0 99.00 99.00 99.00 999 1012.3  11.7  11.7 999.0 99.0 99.00
2018 05 01 23 05 280  8.8 99.0 99.00 99.00 99.00 999 1011.6  11.7  11.8 999.0 99.0 99.00
2018 05 02 00 05 280  8.2 99.0 99.00 99.00 99.00 999 1011.3  11.7  11.7 999.0 99.0 99.00
2018 05 02 01 05 280  7.7 99.0 99.00 99.00 99.00 999 1011.6  11.8  11.7 999.0 99.0 99.00
