#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 04 01 00 05 290  5.7 99.0 99.00 99.00 99.00 999 1016.5  12.5  13.2 999.0 99.0 99.00
2018 04 01 01 05 300  5.1 99.0 99.00 99.00 99.00 999 1016.4  12.5  13.3 999.0 99.0 99.00
2018 04 01 02 05 290  7.2 99.0 99.00 99.00 99.00 999 1016.2  12.2  13.4 999.0 99.0 99.00
2018 04 01 03 05 310  8.8 99.0 99.00 99.00 99.00 999 1015.9  12.2  13.4 999.0 99.0 99.00
2018 04 01 04 05 300  8.2 99.0 99.00 99.00 99.00 999 1016.3  12.1  13.4 999.0 99.0 99.00
2018 04 01 05 05 310  6.7 99.0 99.00 99.00 99.00 999 1016.6  12.3  13.4 999.0 99.0 99.00
2018 04 01 06 05 310  6.2 99.0 99.00 99.00 99.00 999 1016.7  11.8  13.4 999.0 99.0 99.00
2018 04 01 07 05 330  3.6 99.0 99.00 99.00 99.00 999 1017.0  11.2  13.3 999.0 99.0 99.00
2018 04 01 08 05 310  5.1 99.0 99.00 99.00 99.00 999 1016.5  11.3  13.2 999.0 99.0 99.00
2018 04 01 09 05 300  3.6 99.0 99.00 99.00 99.00 999 1016.1  11.2  13.1 999.0 99.0 99.00
2018 04 01 10 05  10  2.1 99.0 99.00 99.00 99.00 999 1015.5  10.7  13.1 999.0 99.0 99.00
2018 04 01 11 05 310  2.1 99.0 99.00 99.00 99.00 999 1015.4  11.3  13.1 999.0 99.0 99.00
2018 04 01 12 05 300  3.1 99.0 99.00 99.00 99.00 999 1015.2  11.1  13.1 999.0 99.0 99.00
2018 04 01 13 05 330  1.0 99.0 99.00 99.00 99.00 999 1014.9  11.1  13.1 999.0 99.0 99.00
2018 04 01 14 05  30  3.1 99.0 99.00 99.00 99.00 999 1014.8  11.0  13.1 999.0 99.0 99.00
2018 04 01 15 05  10  2.6 99.0 99.00 99.00 99.00 999 1015.0  11.5  13.1 999.0 99.0 99.00
2018 04 01 16 05  70  2.1 99.0 99.00 99.00 99.00 999 1015.1  10.9  13.0 999.0 99.0 99.00
2018 04 01 17 05 360  1.5 99.0 99.00 99.00 99.00 999 1015.1  10.9  13.0 999.0 99.0 99.00
2018 04 01 18 05 330  2.1 99.0 99.00 99.00 99.00 999 1015.0  11.5  13.1 999.0 99.0 99.00
